scoring_method,dataset,top_k_acc,ms2scorer,k
Only-MS$^2$,AC_003,0.0,CFM-ID,1
LC-MS$^2$Struct,AC_003,2.0,CFM-ID,1
MS$^2$+RT,AC_003,0.0,CFM-ID,1
MS$^2$+logP,AC_003,-2.4429629629629632,CFM-ID,1
MS$^2$+RO,AC_003,1.5999999999999996,CFM-ID,1
Only-MS$^2$,AU_000,0.0,CFM-ID,1
LC-MS$^2$Struct,AU_000,6.8881725411137165,CFM-ID,1
MS$^2$+RT,AU_000,0.13449314861079564,CFM-ID,1
MS$^2$+logP,AU_000,1.793223046164222,CFM-ID,1
MS$^2$+RO,AU_000,2.6215058744470507,CFM-ID,1
Only-MS$^2$,AU_002,0.0,CFM-ID,1
LC-MS$^2$Struct,AU_002,1.9579215333932316,CFM-ID,1
MS$^2$+RT,AU_002,0.004991514425476851,CFM-ID,1
MS$^2$+logP,AU_002,-0.5927423380253583,CFM-ID,1
MS$^2$+RO,AU_002,-0.9845762204252759,CFM-ID,1
Only-MS$^2$,AU_003,0.0,CFM-ID,1
LC-MS$^2$Struct,AU_003,5.6,CFM-ID,1
MS$^2$+RT,AU_003,0.666666666666667,CFM-ID,1
MS$^2$+logP,AU_003,5.066666666666666,CFM-ID,1
MS$^2$+RO,AU_003,1.2000000000000002,CFM-ID,1
Only-MS$^2$,BML_000,0.0,CFM-ID,1
LC-MS$^2$Struct,BML_000,1.5999999999999996,CFM-ID,1
MS$^2$+RT,BML_000,0.0,CFM-ID,1
MS$^2$+logP,BML_000,-1.0666666666666669,CFM-ID,1
MS$^2$+RO,BML_000,0.2666666666666666,CFM-ID,1
Only-MS$^2$,BML_001,0.0,CFM-ID,1
LC-MS$^2$Struct,BML_001,4.1330406147091105,CFM-ID,1
MS$^2$+RT,BML_001,0.5333362947557435,CFM-ID,1
MS$^2$+logP,BML_001,0.3997072813757777,CFM-ID,1
MS$^2$+RO,BML_001,2.799707281375778,CFM-ID,1
Only-MS$^2$,BS_000,0.0,CFM-ID,1
LC-MS$^2$Struct,BS_000,4.933333333333332,CFM-ID,1
MS$^2$+RT,BS_000,0.6666666666666652,CFM-ID,1
