scoring_method,dataset,top_k_acc,ms2scorer,k
Only-MS$^2$,AC_003,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),AC_003,0.9333333333333327,CFM-ID,1
LC-MS$^2$Struct (3D),AC_003,2.0,CFM-ID,1
Only-MS$^2$,AU_000,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),AU_000,5.954839207780383,CFM-ID,1
LC-MS$^2$Struct (3D),AU_000,6.8881725411137165,CFM-ID,1
Only-MS$^2$,AU_002,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),AU_002,0.48542477787760685,CFM-ID,1
LC-MS$^2$Struct (3D),AU_002,1.9579215333932316,CFM-ID,1
Only-MS$^2$,AU_003,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),AU_003,5.199999999999999,CFM-ID,1
LC-MS$^2$Struct (3D),AU_003,5.6,CFM-ID,1
Only-MS$^2$,BML_000,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),BML_000,0.0,CFM-ID,1
LC-MS$^2$Struct (3D),BML_000,1.5999999999999996,CFM-ID,1
Only-MS$^2$,BML_001,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),BML_001,2.799707281375778,CFM-ID,1
LC-MS$^2$Struct (3D),BML_001,4.1330406147091105,CFM-ID,1
Only-MS$^2$,BS_000,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),BS_000,3.5333333333333314,CFM-ID,1
LC-MS$^2$Struct (3D),BS_000,4.933333333333332,CFM-ID,1
Only-MS$^2$,CE_001,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),CE_001,2.5641025641025648,CFM-ID,1
LC-MS$^2$Struct (3D),CE_001,2.5641025641025648,CFM-ID,1
Only-MS$^2$,EA_000,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),EA_000,6.868888888888889,CFM-ID,1
LC-MS$^2$Struct (3D),EA_000,7.135555555555556,CFM-ID,1
Only-MS$^2$,EA_001,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),EA_001,7.976969696969697,CFM-ID,1
LC-MS$^2$Struct (3D),EA_001,9.31030303030303,CFM-ID,1
Only-MS$^2$,EA_002,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),EA_002,3.283380018674137,CFM-ID,1
LC-MS$^2$Struct (3D),EA_002,3.9435107376283858,CFM-ID,1
Only-MS$^2$,EA_003,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),EA_003,5.192846369316957,CFM-ID,1
LC-MS$^2$Struct (3D),EA_003,5.846441140558786,CFM-ID,1
Only-MS$^2$,EQ_001,0.0,CFM-ID,1
