scoring_method,dataset,top_k_acc,ms2scorer,k
LC-MS$^2$Struct (2D),LU_001,2.6845875263123915,CFM-ID,20
LC-MS$^2$Struct (3D),LU_001,6.395565802064965,CFM-ID,20
Only-MS$^2$,NA_003,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),NA_003,-0.18291270532774817,CFM-ID,20
LC-MS$^2$Struct (3D),NA_003,2.578549198846032,CFM-ID,20
Only-MS$^2$,PR_002,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),PR_002,2.173915390234992,CFM-ID,20
LC-MS$^2$Struct (3D),PR_002,7.8270528087111515,CFM-ID,20
Only-MS$^2$,RP_000,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),RP_000,3.9986953685583977,CFM-ID,20
LC-MS$^2$Struct (3D),RP_000,8.095238095238113,CFM-ID,20
Only-MS$^2$,RP_001,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),RP_001,1.29569862704912,CFM-ID,20
LC-MS$^2$Struct (3D),RP_001,8.66052349289798,CFM-ID,20
Only-MS$^2$,SM_001,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),SM_001,1.8981481481481453,CFM-ID,20
LC-MS$^2$Struct (3D),SM_001,7.731481481481467,CFM-ID,20
Only-MS$^2$,UT_000,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),UT_000,2.0545221635286026,CFM-ID,20
LC-MS$^2$Struct (3D),UT_000,12.16018391591696,CFM-ID,20
Only-MS$^2$,AVG.,0.0,CFM-ID,20
LC-MS$^2$Struct (2D),AVG.,3.4949521079074515,CFM-ID,20
LC-MS$^2$Struct (3D),AVG.,9.185302235444006,CFM-ID,20
Only-MS$^2$,AC_003,0.0,MetFrag,1
LC-MS$^2$Struct (2D),AC_003,0.7541773476815625,MetFrag,1
LC-MS$^2$Struct (3D),AC_003,5.153843225411958,MetFrag,1
Only-MS$^2$,AU_002,0.0,MetFrag,1
LC-MS$^2$Struct (2D),AU_002,0.08371708637343733,MetFrag,1
LC-MS$^2$Struct (3D),AU_002,2.6058982117400804,MetFrag,1
Only-MS$^2$,BML_001,0.0,MetFrag,1
LC-MS$^2$Struct (2D),BML_001,0.16741508678203232,MetFrag,1
LC-MS$^2$Struct (3D),BML_001,2.0281274738102093,MetFrag,1
Only-MS$^2$,BS_000,0.0,MetFrag,1
LC-MS$^2$Struct (2D),BS_000,0.052460722821280115,MetFrag,1
LC-MS$^2$Struct (3D),BS_000,2.4116338494362672,MetFrag,1
Only-MS$^2$,EA_002,0.0,MetFrag,1
LC-MS$^2$Struct (2D),EA_002,-1.0328482020787348,MetFrag,1
LC-MS$^2$Struct (3D),EA_002,2.7171517979212654,MetFrag,1
Only-MS$^2$,EA_003,0.0,MetFrag,1
LC-MS$^2$Struct (2D),EA_003,0.5346300332947083,MetFrag,1
LC-MS$^2$Struct (3D),EA_003,-0.19625269107206833,MetFrag,1
Only-MS$^2$,EQ_004,0.0,MetFrag,1
LC-MS$^2$Struct (2D),EQ_004,3.0082118317412436,MetFrag,1
LC-MS$^2$Struct (3D),EQ_004,5.3359688331485255,MetFrag,1
Only-MS$^2$,LQB_000,0.0,MetFrag,1
LC-MS$^2$Struct (2D),LQB_000,0.7078158578416591,MetFrag,1
LC-MS$^2$Struct (3D),LQB_000,20.259443946019452,MetFrag,1
Only-MS$^2$,LU_000,0.0,MetFrag,1
LC-MS$^2$Struct (2D),LU_000,2.193464052287582,MetFrag,1
LC-MS$^2$Struct (3D),LU_000,-1.2509803921568619,MetFrag,1
Only-MS$^2$,LU_001,0.0,MetFrag,1
LC-MS$^2$Struct (2D),LU_001,-0.15301587301587327,MetFrag,1
LC-MS$^2$Struct (3D),LU_001,3.4625396825396826,MetFrag,1
Only-MS$^2$,NA_003,0.0,MetFrag,1
LC-MS$^2$Struct (2D),NA_003,1.2143730632262408,MetFrag,1
LC-MS$^2$Struct (3D),NA_003,1.9554439174596925,MetFrag,1
Only-MS$^2$,PR_002,0.0,MetFrag,1
LC-MS$^2$Struct (2D),PR_002,0.2926989350518763,MetFrag,1
LC-MS$^2$Struct (3D),PR_002,1.062082884435825,MetFrag,1
Only-MS$^2$,RP_000,0.0,MetFrag,1
LC-MS$^2$Struct (2D),RP_000,-0.602404935790176,MetFrag,1
LC-MS$^2$Struct (3D),RP_000,1.4293410959558548,MetFrag,1
Only-MS$^2$,RP_001,0.0,MetFrag,1
LC-MS$^2$Struct (2D),RP_001,1.846251161319655,MetFrag,1
LC-MS$^2$Struct (3D),RP_001,1.0741465535986094,MetFrag,1
Only-MS$^2$,SM_001,0.0,MetFrag,1
LC-MS$^2$Struct (2D),SM_001,0.06766381766381735,MetFrag,1
LC-MS$^2$Struct (3D),SM_001,2.2898860398860394,MetFrag,1
Only-MS$^2$,UT_000,0.0,MetFrag,1
LC-MS$^2$Struct (2D),UT_000,0.4724499440986225,MetFrag,1
LC-MS$^2$Struct (3D),UT_000,4.502052147599665,MetFrag,1
Only-MS$^2$,AVG.,0.0,MetFrag,1
LC-MS$^2$Struct (2D),AVG.,0.3058367893811913,MetFrag,1
LC-MS$^2$Struct (3D),AVG.,3.825854052128767,MetFrag,1
Only-MS$^2$,AC_003,0.0,MetFrag,20
LC-MS$^2$Struct (2D),AC_003,0.09000559373984629,MetFrag,20
LC-MS$^2$Struct (3D),AC_003,1.4603829127243202,MetFrag,20
Only-MS$^2$,AU_002,0.0,MetFrag,20
LC-MS$^2$Struct (2D),AU_002,0.4996910739942564,MetFrag,20
LC-MS$^2$Struct (3D),AU_002,8.954268771013503,MetFrag,20
Only-MS$^2$,BML_001,0.0,MetFrag,20
LC-MS$^2$Struct (2D),BML_001,4.5724146591431065,MetFrag,20
LC-MS$^2$Struct (3D),BML_001,7.352237175807744,MetFrag,20
Only-MS$^2$,BS_000,0.0,MetFrag,20
LC-MS$^2$Struct (2D),BS_000,4.207442695797219,MetFrag,20
LC-MS$^2$Struct (3D),BS_000,11.980454442527432,MetFrag,20
Only-MS$^2$,EA_002,0.0,MetFrag,20
LC-MS$^2$Struct (2D),EA_002,3.4926259713575547,MetFrag,20
LC-MS$^2$Struct (3D),EA_002,5.635439515858025,MetFrag,20
Only-MS$^2$,EA_003,0.0,MetFrag,20
LC-MS$^2$Struct (2D),EA_003,3.0835408452247677,MetFrag,20
LC-MS$^2$Struct (3D),EA_003,8.297851492022367,MetFrag,20
Only-MS$^2$,EQ_004,0.0,MetFrag,20
LC-MS$^2$Struct (2D),EQ_004,8.392951551656935,MetFrag,20
LC-MS$^2$Struct (3D),EQ_004,8.689097786206723,MetFrag,20
Only-MS$^2$,LQB_000,0.0,MetFrag,20
LC-MS$^2$Struct (2D),LQB_000,3.10059902734244,MetFrag,20
LC-MS$^2$Struct (3D),LQB_000,9.829212382617968,MetFrag,20
Only-MS$^2$,LU_000,0.0,MetFrag,20
LC-MS$^2$Struct (2D),LU_000,-5.1796006415613505,MetFrag,20
LC-MS$^2$Struct (3D),LU_000,1.4220577085702928,MetFrag,20
Only-MS$^2$,LU_001,0.0,MetFrag,20
LC-MS$^2$Struct (2D),LU_001,-0.31648169499594303,MetFrag,20
LC-MS$^2$Struct (3D),LU_001,7.724505949996953,MetFrag,20
Only-MS$^2$,NA_003,0.0,MetFrag,20
LC-MS$^2$Struct (2D),NA_003,2.4690530724321427,MetFrag,20
LC-MS$^2$Struct (3D),NA_003,7.570145041582112,MetFrag,20
Only-MS$^2$,PR_002,0.0,MetFrag,20
LC-MS$^2$Struct (2D),PR_002,-0.5005658614767157,MetFrag,20
LC-MS$^2$Struct (3D),PR_002,2.315027227169182,MetFrag,20
Only-MS$^2$,RP_000,0.0,MetFrag,20
LC-MS$^2$Struct (2D),RP_000,2.2451961912934024,MetFrag,20
LC-MS$^2$Struct (3D),RP_000,5.705513651610879,MetFrag,20
Only-MS$^2$,RP_001,0.0,MetFrag,20
LC-MS$^2$Struct (2D),RP_001,3.586695241680893,MetFrag,20
LC-MS$^2$Struct (3D),RP_001,6.2125855101324845,MetFrag,20
Only-MS$^2$,SM_001,0.0,MetFrag,20
