scoring_method,k,n_models,top_k_acc
LC-MS$^2$Struct,1,1,22.0
LC-MS$^2$Struct,20,1,57.99999999999999
Only-MS$^2$,1,1,15.5
Only-MS$^2$,20,1,57.23809523809522
LC-MS$^2$Struct,1,2,20.0
LC-MS$^2$Struct,20,2,56.00000000000001
Only-MS$^2$,1,2,15.5
Only-MS$^2$,20,2,57.23809523809522
LC-MS$^2$Struct,1,3,22.0
LC-MS$^2$Struct,20,3,57.99999999999999
Only-MS$^2$,1,3,15.5
Only-MS$^2$,20,3,57.23809523809522
LC-MS$^2$Struct,1,4,22.0
LC-MS$^2$Struct,20,4,57.99999999999999
Only-MS$^2$,1,4,15.5
Only-MS$^2$,20,4,57.23809523809522
LC-MS$^2$Struct,1,5,22.0
LC-MS$^2$Struct,20,5,57.99999999999999
Only-MS$^2$,1,5,15.5
Only-MS$^2$,20,5,57.23809523809522
LC-MS$^2$Struct,1,6,20.0
LC-MS$^2$Struct,20,6,57.99999999999999
Only-MS$^2$,1,6,15.5
Only-MS$^2$,20,6,57.23809523809522
LC-MS$^2$Struct,1,7,20.0
LC-MS$^2$Struct,20,7,57.99999999999999
Only-MS$^2$,1,7,15.5
Only-MS$^2$,20,7,57.23809523809522
LC-MS$^2$Struct,1,8,20.0
LC-MS$^2$Struct,20,8,57.99999999999999
Only-MS$^2$,1,8,15.5
Only-MS$^2$,20,8,57.23809523809522
LC-MS$^2$Struct,1,1,14.000000000000002
LC-MS$^2$Struct,20,1,51.99999999999999
Only-MS$^2$,1,1,10.50243605359318
Only-MS$^2$,20,1,52.04872107186358
LC-MS$^2$Struct,1,2,18.0
LC-MS$^2$Struct,20,2,54.0
Only-MS$^2$,1,2,10.50243605359318
Only-MS$^2$,20,2,52.04872107186358
LC-MS$^2$Struct,1,3,16.0
LC-MS$^2$Struct,20,3,57.99999999999999
Only-MS$^2$,1,3,10.50243605359318
Only-MS$^2$,20,3,52.04872107186358
LC-MS$^2$Struct,1,4,16.0
LC-MS$^2$Struct,20,4,57.99999999999999
Only-MS$^2$,1,4,10.50243605359318
Only-MS$^2$,20,4,52.04872107186358
LC-MS$^2$Struct,1,5,20.0
LC-MS$^2$Struct,20,5,54.0
Only-MS$^2$,1,5,10.50243605359318
Only-MS$^2$,20,5,52.04872107186358
LC-MS$^2$Struct,1,6,20.0
LC-MS$^2$Struct,20,6,60.0
Only-MS$^2$,1,6,10.50243605359318
Only-MS$^2$,20,6,52.04872107186358
LC-MS$^2$Struct,1,7,18.0
LC-MS$^2$Struct,20,7,57.99999999999999
Only-MS$^2$,1,7,10.50243605359318
Only-MS$^2$,20,7,52.04872107186358
LC-MS$^2$Struct,1,8,18.0
LC-MS$^2$Struct,20,8,56.00000000000001
Only-MS$^2$,1,8,10.50243605359318
Only-MS$^2$,20,8,52.04872107186358
LC-MS$^2$Struct,1,1,16.0
LC-MS$^2$Struct,20,1,56.00000000000001
Only-MS$^2$,1,1,10.47677119628339
Only-MS$^2$,20,1,49.725900116144
LC-MS$^2$Struct,1,2,18.0
LC-MS$^2$Struct,20,2,56.00000000000001
Only-MS$^2$,1,2,10.47677119628339
Only-MS$^2$,20,2,49.725900116144
LC-MS$^2$Struct,1,3,14.000000000000002
LC-MS$^2$Struct,20,3,56.00000000000001
Only-MS$^2$,1,3,10.47677119628339
Only-MS$^2$,20,3,49.725900116144
LC-MS$^2$Struct,1,4,14.000000000000002
LC-MS$^2$Struct,20,4,57.99999999999999
Only-MS$^2$,1,4,10.47677119628339
Only-MS$^2$,20,4,49.725900116144
LC-MS$^2$Struct,1,5,18.0
LC-MS$^2$Struct,20,5,56.00000000000001
Only-MS$^2$,1,5,10.47677119628339
Only-MS$^2$,20,5,49.725900116144
LC-MS$^2$Struct,1,6,18.0
LC-MS$^2$Struct,20,6,57.99999999999999
Only-MS$^2$,1,6,10.47677119628339
Only-MS$^2$,20,6,49.725900116144
LC-MS$^2$Struct,1,7,18.0
LC-MS$^2$Struct,20,7,56.00000000000001
Only-MS$^2$,1,7,10.47677119628339
Only-MS$^2$,20,7,49.725900116144
LC-MS$^2$Struct,1,8,16.0
LC-MS$^2$Struct,20,8,56.00000000000001
Only-MS$^2$,1,8,10.47677119628339
Only-MS$^2$,20,8,49.725900116144
LC-MS$^2$Struct,1,1,20.000739918608957
LC-MS$^2$Struct,20,1,50.014798372179015
Only-MS$^2$,1,1,13.81551107966417
Only-MS$^2$,20,1,46.595935878997686
LC-MS$^2$Struct,1,2,20.0
LC-MS$^2$Struct,20,2,52.0
Only-MS$^2$,1,2,13.81551107966417
Only-MS$^2$,20,2,46.595935878997686
LC-MS$^2$Struct,1,3,24.0
LC-MS$^2$Struct,20,3,52.0
Only-MS$^2$,1,3,13.81551107966417
Only-MS$^2$,20,3,46.595935878997686
LC-MS$^2$Struct,1,4,24.0
LC-MS$^2$Struct,20,4,52.0
Only-MS$^2$,1,4,13.81551107966417
Only-MS$^2$,20,4,46.595935878997686
LC-MS$^2$Struct,1,5,24.0
LC-MS$^2$Struct,20,5,54.0
Only-MS$^2$,1,5,13.81551107966417
Only-MS$^2$,20,5,46.595935878997686
LC-MS$^2$Struct,1,6,20.0
LC-MS$^2$Struct,20,6,52.0
Only-MS$^2$,1,6,13.81551107966417
Only-MS$^2$,20,6,46.595935878997686
LC-MS$^2$Struct,1,7,20.0
LC-MS$^2$Struct,20,7,50.0
Only-MS$^2$,1,7,13.81551107966417
Only-MS$^2$,20,7,46.595935878997686
LC-MS$^2$Struct,1,8,20.0
LC-MS$^2$Struct,20,8,50.0
Only-MS$^2$,1,8,13.81551107966417
Only-MS$^2$,20,8,46.595935878997686
LC-MS$^2$Struct,1,1,18.0
LC-MS$^2$Struct,20,1,56.00000000000001
Only-MS$^2$,1,1,10.785714285714285
Only-MS$^2$,20,1,53.99999999999999
LC-MS$^2$Struct,1,2,20.0
LC-MS$^2$Struct,20,2,57.99999999999999
Only-MS$^2$,1,2,10.785714285714285
Only-MS$^2$,20,2,53.99999999999999
LC-MS$^2$Struct,1,3,22.0
LC-MS$^2$Struct,20,3,54.0
Only-MS$^2$,1,3,10.785714285714285
Only-MS$^2$,20,3,53.99999999999999
LC-MS$^2$Struct,1,4,22.0
LC-MS$^2$Struct,20,4,52.0
Only-MS$^2$,1,4,10.785714285714285
Only-MS$^2$,20,4,53.99999999999999
LC-MS$^2$Struct,1,5,20.0
LC-MS$^2$Struct,20,5,56.00000000000001
Only-MS$^2$,1,5,10.785714285714285
Only-MS$^2$,20,5,53.99999999999999
LC-MS$^2$Struct,1,6,22.0
LC-MS$^2$Struct,20,6,57.99999999999999
Only-MS$^2$,1,6,10.785714285714285
Only-MS$^2$,20,6,53.99999999999999
LC-MS$^2$Struct,1,7,22.0
LC-MS$^2$Struct,20,7,56.00000000000001
Only-MS$^2$,1,7,10.785714285714285
Only-MS$^2$,20,7,53.99999999999999
LC-MS$^2$Struct,1,8,22.0
LC-MS$^2$Struct,20,8,56.00000000000001
Only-MS$^2$,1,8,10.785714285714285
Only-MS$^2$,20,8,53.99999999999999
LC-MS$^2$Struct,1,1,16.0
LC-MS$^2$Struct,20,1,56.00000000000001
Only-MS$^2$,1,1,10.83873988338078
Only-MS$^2$,20,1,55.34622623904416
LC-MS$^2$Struct,1,2,18.0
LC-MS$^2$Struct,20,2,56.00000000000001
Only-MS$^2$,1,2,10.83873988338078
Only-MS$^2$,20,2,55.34622623904416
LC-MS$^2$Struct,1,3,22.0
LC-MS$^2$Struct,20,3,56.00000000000001
Only-MS$^2$,1,3,10.83873988338078
Only-MS$^2$,20,3,55.34622623904416
LC-MS$^2$Struct,1,4,22.0
LC-MS$^2$Struct,20,4,54.0
Only-MS$^2$,1,4,10.83873988338078
Only-MS$^2$,20,4,55.34622623904416
LC-MS$^2$Struct,1,5,24.0
LC-MS$^2$Struct,20,5,54.0
Only-MS$^2$,1,5,10.83873988338078
Only-MS$^2$,20,5,55.34622623904416
LC-MS$^2$Struct,1,6,24.0
LC-MS$^2$Struct,20,6,56.00000000000001
Only-MS$^2$,1,6,10.83873988338078
Only-MS$^2$,20,6,55.34622623904416
LC-MS$^2$Struct,1,7,22.0
LC-MS$^2$Struct,20,7,56.00000000000001
Only-MS$^2$,1,7,10.83873988338078
Only-MS$^2$,20,7,55.34622623904416
LC-MS$^2$Struct,1,8,22.0
LC-MS$^2$Struct,20,8,56.00000000000001
Only-MS$^2$,1,8,10.83873988338078
Only-MS$^2$,20,8,55.34622623904416
LC-MS$^2$Struct,1,1,30.0
LC-MS$^2$Struct,20,1,64.0
Only-MS$^2$,1,1,21.335769386926515
Only-MS$^2$,20,1,64.04872107186354
LC-MS$^2$Struct,1,2,30.0
LC-MS$^2$Struct,20,2,64.0
Only-MS$^2$,1,2,21.335769386926515
Only-MS$^2$,20,2,64.04872107186354
LC-MS$^2$Struct,1,3,30.0
LC-MS$^2$Struct,20,3,64.0
Only-MS$^2$,1,3,21.335769386926515
Only-MS$^2$,20,3,64.04872107186354
LC-MS$^2$Struct,1,4,28.000000000000004
LC-MS$^2$Struct,20,4,64.0
Only-MS$^2$,1,4,21.335769386926515
Only-MS$^2$,20,4,64.04872107186354
LC-MS$^2$Struct,1,5,30.0
LC-MS$^2$Struct,20,5,64.0
Only-MS$^2$,1,5,21.335769386926515
Only-MS$^2$,20,5,64.04872107186354
LC-MS$^2$Struct,1,6,28.000000000000004
LC-MS$^2$Struct,20,6,64.0
Only-MS$^2$,1,6,21.335769386926515
Only-MS$^2$,20,6,64.04872107186354
LC-MS$^2$Struct,1,7,28.000000000000004
LC-MS$^2$Struct,20,7,64.0
Only-MS$^2$,1,7,21.335769386926515
Only-MS$^2$,20,7,64.04872107186354
LC-MS$^2$Struct,1,8,28.000000000000004
LC-MS$^2$Struct,20,8,64.0
Only-MS$^2$,1,8,21.335769386926515
Only-MS$^2$,20,8,64.04872107186354
LC-MS$^2$Struct,1,1,18.503016591251885
LC-MS$^2$Struct,20,1,48.06033182503771
Only-MS$^2$,1,1,11.002988234708583
Only-MS$^2$,20,1,42.05976469417165
LC-MS$^2$Struct,1,2,20.004608294930875
LC-MS$^2$Struct,20,2,48.09216589861751
Only-MS$^2$,1,2,11.002988234708583
Only-MS$^2$,20,2,42.05976469417165
LC-MS$^2$Struct,1,3,20.0
LC-MS$^2$Struct,20,3,48.0
Only-MS$^2$,1,3,11.002988234708583
Only-MS$^2$,20,3,42.05976469417165
LC-MS$^2$Struct,1,4,20.0
LC-MS$^2$Struct,20,4,46.0
Only-MS$^2$,1,4,11.002988234708583
Only-MS$^2$,20,4,42.05976469417165
LC-MS$^2$Struct,1,5,24.0
LC-MS$^2$Struct,20,5,46.0
Only-MS$^2$,1,5,11.002988234708583
Only-MS$^2$,20,5,42.05976469417165
LC-MS$^2$Struct,1,6,24.0
LC-MS$^2$Struct,20,6,46.0
Only-MS$^2$,1,6,11.002988234708583
Only-MS$^2$,20,6,42.05976469417165
LC-MS$^2$Struct,1,7,24.0
LC-MS$^2$Struct,20,7,44.0
Only-MS$^2$,1,7,11.002988234708583
Only-MS$^2$,20,7,42.05976469417165
LC-MS$^2$Struct,1,8,24.0
LC-MS$^2$Struct,20,8,44.0
Only-MS$^2$,1,8,11.002988234708583
Only-MS$^2$,20,8,42.05976469417165
LC-MS$^2$Struct,1,1,18.0
LC-MS$^2$Struct,20,1,56.00000000000001
Only-MS$^2$,1,1,7.8381877022653725
Only-MS$^2$,20,1,51.33518261673598
LC-MS$^2$Struct,1,2,18.0
LC-MS$^2$Struct,20,2,54.0
Only-MS$^2$,1,2,7.8381877022653725
Only-MS$^2$,20,2,51.33518261673598
LC-MS$^2$Struct,1,3,24.0
LC-MS$^2$Struct,20,3,52.0
Only-MS$^2$,1,3,7.8381877022653725
Only-MS$^2$,20,3,51.33518261673598
LC-MS$^2$Struct,1,4,20.0
LC-MS$^2$Struct,20,4,54.0
Only-MS$^2$,1,4,7.8381877022653725
Only-MS$^2$,20,4,51.33518261673598
LC-MS$^2$Struct,1,5,20.0
LC-MS$^2$Struct,20,5,54.0
Only-MS$^2$,1,5,7.8381877022653725
Only-MS$^2$,20,5,51.33518261673598
LC-MS$^2$Struct,1,6,18.0
LC-MS$^2$Struct,20,6,52.0
Only-MS$^2$,1,6,7.8381877022653725
Only-MS$^2$,20,6,51.33518261673598
LC-MS$^2$Struct,1,7,20.0
LC-MS$^2$Struct,20,7,52.0
Only-MS$^2$,1,7,7.8381877022653725
Only-MS$^2$,20,7,51.33518261673598
LC-MS$^2$Struct,1,8,18.0
LC-MS$^2$Struct,20,8,52.0
Only-MS$^2$,1,8,7.8381877022653725
Only-MS$^2$,20,8,51.33518261673598
LC-MS$^2$Struct,1,1,22.01388888888889
LC-MS$^2$Struct,20,1,58.27777777777773
Only-MS$^2$,1,1,13.124454169095062
Only-MS$^2$,20,1,56.10813100094892
LC-MS$^2$Struct,1,2,26.0
LC-MS$^2$Struct,20,2,60.0
Only-MS$^2$,1,2,13.124454169095062
Only-MS$^2$,20,2,56.10813100094892
LC-MS$^2$Struct,1,3,20.0
LC-MS$^2$Struct,20,3,57.99999999999999
Only-MS$^2$,1,3,13.124454169095062
Only-MS$^2$,20,3,56.10813100094892
LC-MS$^2$Struct,1,4,22.0
LC-MS$^2$Struct,20,4,60.0
Only-MS$^2$,1,4,13.124454169095062
Only-MS$^2$,20,4,56.10813100094892
LC-MS$^2$Struct,1,5,22.0
LC-MS$^2$Struct,20,5,57.99999999999999
Only-MS$^2$,1,5,13.124454169095062
Only-MS$^2$,20,5,56.10813100094892
LC-MS$^2$Struct,1,6,28.000000000000004
LC-MS$^2$Struct,20,6,60.0
Only-MS$^2$,1,6,13.124454169095062
Only-MS$^2$,20,6,56.10813100094892
LC-MS$^2$Struct,1,7,28.000000000000004
LC-MS$^2$Struct,20,7,60.0
Only-MS$^2$,1,7,13.124454169095062
Only-MS$^2$,20,7,56.10813100094892
LC-MS$^2$Struct,1,8,26.0
LC-MS$^2$Struct,20,8,60.0
Only-MS$^2$,1,8,13.124454169095062
Only-MS$^2$,20,8,56.10813100094892
