scoring_method,k,n_models,top_k_acc
LC-MS$^2$Struct,1,1,12.0
LC-MS$^2$Struct,20,1,54.0
Only-MS$^2$,1,1,17.293004708239504
Only-MS$^2$,20,1,52.145808450504326
LC-MS$^2$Struct,1,2,22.0
LC-MS$^2$Struct,20,2,62.0
Only-MS$^2$,1,2,17.293004708239504
Only-MS$^2$,20,2,52.145808450504326
LC-MS$^2$Struct,1,3,20.0
LC-MS$^2$Struct,20,3,60.0
Only-MS$^2$,1,3,17.293004708239504
Only-MS$^2$,20,3,52.145808450504326
LC-MS$^2$Struct,1,4,20.0
LC-MS$^2$Struct,20,4,64.0
Only-MS$^2$,1,4,17.293004708239504
Only-MS$^2$,20,4,52.145808450504326
LC-MS$^2$Struct,1,5,18.0
LC-MS$^2$Struct,20,5,64.0
Only-MS$^2$,1,5,17.293004708239504
Only-MS$^2$,20,5,52.145808450504326
LC-MS$^2$Struct,1,6,22.0
LC-MS$^2$Struct,20,6,57.99999999999999
Only-MS$^2$,1,6,17.293004708239504
Only-MS$^2$,20,6,52.145808450504326
LC-MS$^2$Struct,1,7,22.0
LC-MS$^2$Struct,20,7,60.0
Only-MS$^2$,1,7,17.293004708239504
Only-MS$^2$,20,7,52.145808450504326
LC-MS$^2$Struct,1,8,22.0
LC-MS$^2$Struct,20,8,57.99999999999999
Only-MS$^2$,1,8,17.293004708239504
Only-MS$^2$,20,8,52.145808450504326
LC-MS$^2$Struct,1,1,22.0
LC-MS$^2$Struct,20,1,50.0
Only-MS$^2$,1,1,15.288150339307466
Only-MS$^2$,20,1,50.048721071863575
LC-MS$^2$Struct,1,2,20.0
LC-MS$^2$Struct,20,2,50.0
Only-MS$^2$,1,2,15.288150339307466
Only-MS$^2$,20,2,50.048721071863575
LC-MS$^2$Struct,1,3,22.0
LC-MS$^2$Struct,20,3,50.0
Only-MS$^2$,1,3,15.288150339307466
Only-MS$^2$,20,3,50.048721071863575
LC-MS$^2$Struct,1,4,20.0
LC-MS$^2$Struct,20,4,50.0
Only-MS$^2$,1,4,15.288150339307466
Only-MS$^2$,20,4,50.048721071863575
LC-MS$^2$Struct,1,5,20.0
LC-MS$^2$Struct,20,5,50.0
Only-MS$^2$,1,5,15.288150339307466
Only-MS$^2$,20,5,50.048721071863575
LC-MS$^2$Struct,1,6,22.0
LC-MS$^2$Struct,20,6,50.0
Only-MS$^2$,1,6,15.288150339307466
Only-MS$^2$,20,6,50.048721071863575
LC-MS$^2$Struct,1,7,20.0
LC-MS$^2$Struct,20,7,50.0
Only-MS$^2$,1,7,15.288150339307466
Only-MS$^2$,20,7,50.048721071863575
LC-MS$^2$Struct,1,8,20.0
LC-MS$^2$Struct,20,8,50.0
Only-MS$^2$,1,8,15.288150339307466
Only-MS$^2$,20,8,50.048721071863575
LC-MS$^2$Struct,1,1,14.000000000000002
LC-MS$^2$Struct,20,1,52.0
Only-MS$^2$,1,1,8.0
Only-MS$^2$,20,1,50.0
LC-MS$^2$Struct,1,2,14.000000000000002
LC-MS$^2$Struct,20,2,52.0
Only-MS$^2$,1,2,8.0
Only-MS$^2$,20,2,50.0
LC-MS$^2$Struct,1,3,16.0
LC-MS$^2$Struct,20,3,52.0
Only-MS$^2$,1,3,8.0
Only-MS$^2$,20,3,50.0
LC-MS$^2$Struct,1,4,16.0
LC-MS$^2$Struct,20,4,52.0
Only-MS$^2$,1,4,8.0
Only-MS$^2$,20,4,50.0
LC-MS$^2$Struct,1,5,16.0
LC-MS$^2$Struct,20,5,52.0
Only-MS$^2$,1,5,8.0
Only-MS$^2$,20,5,50.0
LC-MS$^2$Struct,1,6,16.0
LC-MS$^2$Struct,20,6,52.0
Only-MS$^2$,1,6,8.0
Only-MS$^2$,20,6,50.0
LC-MS$^2$Struct,1,7,14.000000000000002
LC-MS$^2$Struct,20,7,52.0
Only-MS$^2$,1,7,8.0
Only-MS$^2$,20,7,50.0
LC-MS$^2$Struct,1,8,14.000000000000002
LC-MS$^2$Struct,20,8,52.0
Only-MS$^2$,1,8,8.0
Only-MS$^2$,20,8,50.0
LC-MS$^2$Struct,1,1,24.0
LC-MS$^2$Struct,20,1,56.00000000000001
Only-MS$^2$,1,1,13.002988234708583
Only-MS$^2$,20,1,51.29785993226699
LC-MS$^2$Struct,1,2,22.0
LC-MS$^2$Struct,20,2,52.0
Only-MS$^2$,1,2,13.002988234708583
Only-MS$^2$,20,2,51.29785993226699
LC-MS$^2$Struct,1,3,20.0
LC-MS$^2$Struct,20,3,52.0
Only-MS$^2$,1,3,13.002988234708583
Only-MS$^2$,20,3,51.29785993226699
LC-MS$^2$Struct,1,4,18.0
LC-MS$^2$Struct,20,4,52.0
Only-MS$^2$,1,4,13.002988234708583
Only-MS$^2$,20,4,51.29785993226699
LC-MS$^2$Struct,1,5,18.0
LC-MS$^2$Struct,20,5,54.0
Only-MS$^2$,1,5,13.002988234708583
Only-MS$^2$,20,5,51.29785993226699
LC-MS$^2$Struct,1,6,18.0
LC-MS$^2$Struct,20,6,54.0
Only-MS$^2$,1,6,13.002988234708583
Only-MS$^2$,20,6,51.29785993226699
LC-MS$^2$Struct,1,7,20.0
LC-MS$^2$Struct,20,7,54.0
Only-MS$^2$,1,7,13.002988234708583
Only-MS$^2$,20,7,51.29785993226699
LC-MS$^2$Struct,1,8,20.0
LC-MS$^2$Struct,20,8,54.0
Only-MS$^2$,1,8,13.002988234708583
Only-MS$^2$,20,8,51.29785993226699
LC-MS$^2$Struct,1,1,8.0
LC-MS$^2$Struct,20,1,54.0
Only-MS$^2$,1,1,5.5
Only-MS$^2$,20,1,48.00000000000001
LC-MS$^2$Struct,1,2,10.0
LC-MS$^2$Struct,20,2,52.0
Only-MS$^2$,1,2,5.5
Only-MS$^2$,20,2,48.00000000000001
LC-MS$^2$Struct,1,3,12.0
LC-MS$^2$Struct,20,3,50.0
Only-MS$^2$,1,3,5.5
Only-MS$^2$,20,3,48.00000000000001
LC-MS$^2$Struct,1,4,14.000000000000002
LC-MS$^2$Struct,20,4,50.0
Only-MS$^2$,1,4,5.5
Only-MS$^2$,20,4,48.00000000000001
LC-MS$^2$Struct,1,5,14.000000000000002
LC-MS$^2$Struct,20,5,50.0
Only-MS$^2$,1,5,5.5
Only-MS$^2$,20,5,48.00000000000001
LC-MS$^2$Struct,1,6,14.000000000000002
LC-MS$^2$Struct,20,6,50.0
Only-MS$^2$,1,6,5.5
Only-MS$^2$,20,6,48.00000000000001
LC-MS$^2$Struct,1,7,14.000000000000002
LC-MS$^2$Struct,20,7,50.0
Only-MS$^2$,1,7,5.5
Only-MS$^2$,20,7,48.00000000000001
LC-MS$^2$Struct,1,8,12.0
LC-MS$^2$Struct,20,8,50.0
Only-MS$^2$,1,8,5.5
Only-MS$^2$,20,8,48.00000000000001
LC-MS$^2$Struct,1,1,15.0
LC-MS$^2$Struct,20,1,59.99999999999998
Only-MS$^2$,1,1,10.039540089218049
Only-MS$^2$,20,1,57.81278338698777
LC-MS$^2$Struct,1,2,9.0
LC-MS$^2$Struct,20,2,63.99999999999999
Only-MS$^2$,1,2,10.039540089218049
Only-MS$^2$,20,2,57.81278338698777
LC-MS$^2$Struct,1,3,9.0
LC-MS$^2$Struct,20,3,63.99999999999999
Only-MS$^2$,1,3,10.039540089218049
Only-MS$^2$,20,3,57.81278338698777
LC-MS$^2$Struct,1,4,13.0
LC-MS$^2$Struct,20,4,61.99999999999999
Only-MS$^2$,1,4,10.039540089218049
Only-MS$^2$,20,4,57.81278338698777
LC-MS$^2$Struct,1,5,11.0
LC-MS$^2$Struct,20,5,61.99999999999999
Only-MS$^2$,1,5,10.039540089218049
Only-MS$^2$,20,5,57.81278338698777
LC-MS$^2$Struct,1,6,13.0
LC-MS$^2$Struct,20,6,63.99999999999999
Only-MS$^2$,1,6,10.039540089218049
Only-MS$^2$,20,6,57.81278338698777
LC-MS$^2$Struct,1,7,13.0
LC-MS$^2$Struct,20,7,63.99999999999999
Only-MS$^2$,1,7,10.039540089218049
Only-MS$^2$,20,7,57.81278338698777
LC-MS$^2$Struct,1,8,13.0
LC-MS$^2$Struct,20,8,61.99999999999999
Only-MS$^2$,1,8,10.039540089218049
Only-MS$^2$,20,8,57.81278338698777
LC-MS$^2$Struct,1,1,16.666666666666668
LC-MS$^2$Struct,20,1,65.7777777777778
Only-MS$^2$,1,1,14.043877551020406
Only-MS$^2$,20,1,61.217872352192906
LC-MS$^2$Struct,1,2,15.666666666666664
LC-MS$^2$Struct,20,2,68.0
Only-MS$^2$,1,2,14.043877551020406
Only-MS$^2$,20,2,61.217872352192906
LC-MS$^2$Struct,1,3,20.666666666666668
LC-MS$^2$Struct,20,3,66.0
Only-MS$^2$,1,3,14.043877551020406
Only-MS$^2$,20,3,61.217872352192906
LC-MS$^2$Struct,1,4,27.666666666666668
LC-MS$^2$Struct,20,4,68.0
Only-MS$^2$,1,4,14.043877551020406
Only-MS$^2$,20,4,61.217872352192906
LC-MS$^2$Struct,1,5,29.666666666666668
LC-MS$^2$Struct,20,5,70.0
Only-MS$^2$,1,5,14.043877551020406
Only-MS$^2$,20,5,61.217872352192906
LC-MS$^2$Struct,1,6,27.666666666666668
LC-MS$^2$Struct,20,6,70.0
Only-MS$^2$,1,6,14.043877551020406
Only-MS$^2$,20,6,61.217872352192906
LC-MS$^2$Struct,1,7,28.666666666666668
LC-MS$^2$Struct,20,7,70.0
Only-MS$^2$,1,7,14.043877551020406
Only-MS$^2$,20,7,61.217872352192906
LC-MS$^2$Struct,1,8,30.66666666666667
LC-MS$^2$Struct,20,8,70.0
Only-MS$^2$,1,8,14.043877551020406
Only-MS$^2$,20,8,61.217872352192906
LC-MS$^2$Struct,1,1,18.666666666666664
LC-MS$^2$Struct,20,1,61.99999999999999
Only-MS$^2$,1,1,7.183885365280713
Only-MS$^2$,20,1,49.14508599132208
LC-MS$^2$Struct,1,2,20.666666666666664
LC-MS$^2$Struct,20,2,57.99999999999999
Only-MS$^2$,1,2,7.183885365280713
Only-MS$^2$,20,2,49.14508599132208
LC-MS$^2$Struct,1,3,20.666666666666664
LC-MS$^2$Struct,20,3,55.99999999999999
Only-MS$^2$,1,3,7.183885365280713
Only-MS$^2$,20,3,49.14508599132208
LC-MS$^2$Struct,1,4,20.666666666666664
LC-MS$^2$Struct,20,4,53.99999999999999
Only-MS$^2$,1,4,7.183885365280713
Only-MS$^2$,20,4,49.14508599132208
LC-MS$^2$Struct,1,5,24.0
LC-MS$^2$Struct,20,5,53.99999999999999
Only-MS$^2$,1,5,7.183885365280713
Only-MS$^2$,20,5,49.14508599132208
LC-MS$^2$Struct,1,6,22.0
LC-MS$^2$Struct,20,6,55.99999999999999
Only-MS$^2$,1,6,7.183885365280713
Only-MS$^2$,20,6,49.14508599132208
LC-MS$^2$Struct,1,7,20.0
LC-MS$^2$Struct,20,7,56.00000000000001
Only-MS$^2$,1,7,7.183885365280713
Only-MS$^2$,20,7,49.14508599132208
LC-MS$^2$Struct,1,8,20.0
LC-MS$^2$Struct,20,8,56.00000000000001
Only-MS$^2$,1,8,7.183885365280713
Only-MS$^2$,20,8,49.14508599132208
LC-MS$^2$Struct,1,1,12.0
LC-MS$^2$Struct,20,1,57.99999999999999
Only-MS$^2$,1,1,9.507936507936508
Only-MS$^2$,20,1,50.264405845051
LC-MS$^2$Struct,1,2,14.000000000000002
LC-MS$^2$Struct,20,2,56.00000000000001
Only-MS$^2$,1,2,9.507936507936508
Only-MS$^2$,20,2,50.264405845051
LC-MS$^2$Struct,1,3,14.000000000000002
LC-MS$^2$Struct,20,3,56.00000000000001
Only-MS$^2$,1,3,9.507936507936508
Only-MS$^2$,20,3,50.264405845051
LC-MS$^2$Struct,1,4,14.000000000000002
LC-MS$^2$Struct,20,4,60.0
Only-MS$^2$,1,4,9.507936507936508
Only-MS$^2$,20,4,50.264405845051
LC-MS$^2$Struct,1,5,14.000000000000002
LC-MS$^2$Struct,20,5,60.0
Only-MS$^2$,1,5,9.507936507936508
Only-MS$^2$,20,5,50.264405845051
LC-MS$^2$Struct,1,6,14.000000000000002
LC-MS$^2$Struct,20,6,60.0
Only-MS$^2$,1,6,9.507936507936508
Only-MS$^2$,20,6,50.264405845051
LC-MS$^2$Struct,1,7,14.000000000000002
LC-MS$^2$Struct,20,7,60.0
Only-MS$^2$,1,7,9.507936507936508
Only-MS$^2$,20,7,50.264405845051
LC-MS$^2$Struct,1,8,14.000000000000002
LC-MS$^2$Struct,20,8,62.0
Only-MS$^2$,1,8,9.507936507936508
Only-MS$^2$,20,8,50.264405845051
LC-MS$^2$Struct,1,1,22.333333333333336
LC-MS$^2$Struct,20,1,74.0
Only-MS$^2$,1,1,14.10995670995671
Only-MS$^2$,20,1,69.39083139083137
LC-MS$^2$Struct,1,2,24.0
LC-MS$^2$Struct,20,2,74.0
Only-MS$^2$,1,2,14.10995670995671
Only-MS$^2$,20,2,69.39083139083137
LC-MS$^2$Struct,1,3,26.0
LC-MS$^2$Struct,20,3,76.0
Only-MS$^2$,1,3,14.10995670995671
Only-MS$^2$,20,3,69.39083139083137
LC-MS$^2$Struct,1,4,28.000000000000004
LC-MS$^2$Struct,20,4,78.0
Only-MS$^2$,1,4,14.10995670995671
Only-MS$^2$,20,4,69.39083139083137
LC-MS$^2$Struct,1,5,28.000000000000004
LC-MS$^2$Struct,20,5,80.0
Only-MS$^2$,1,5,14.10995670995671
Only-MS$^2$,20,5,69.39083139083137
LC-MS$^2$Struct,1,6,26.0
LC-MS$^2$Struct,20,6,80.0
Only-MS$^2$,1,6,14.10995670995671
Only-MS$^2$,20,6,69.39083139083137
LC-MS$^2$Struct,1,7,27.0
LC-MS$^2$Struct,20,7,80.0
Only-MS$^2$,1,7,14.10995670995671
