k,avg_top_k_acc,scoring_method,ms2scorer
1,2.984273092737055,Only-MS$^2$,CFM-ID
2,5.024052592400573,Only-MS$^2$,CFM-ID
3,7.69175461680862,Only-MS$^2$,CFM-ID
4,10.37842057750038,Only-MS$^2$,CFM-ID
5,12.445486746785699,Only-MS$^2$,CFM-ID
6,14.729801993031751,Only-MS$^2$,CFM-ID
7,16.720576278582556,Only-MS$^2$,CFM-ID
8,18.595183517990197,Only-MS$^2$,CFM-ID
9,20.320777687189832,Only-MS$^2$,CFM-ID
10,21.936536274564,Only-MS$^2$,CFM-ID
11,23.395772106756404,Only-MS$^2$,CFM-ID
12,24.415131397892765,Only-MS$^2$,CFM-ID
13,25.721170591950138,Only-MS$^2$,CFM-ID
14,26.665847769271753,Only-MS$^2$,CFM-ID
15,27.625735057780222,Only-MS$^2$,CFM-ID
16,28.530893317892005,Only-MS$^2$,CFM-ID
17,29.431792383747908,Only-MS$^2$,CFM-ID
18,30.382817754510473,Only-MS$^2$,CFM-ID
19,31.339771033933,Only-MS$^2$,CFM-ID
20,32.26433348404103,Only-MS$^2$,CFM-ID
1,3.396194068642724,LC-MS$^2$Struct (2D),CFM-ID
2,5.717245041207181,LC-MS$^2$Struct (2D),CFM-ID
3,8.486420017015035,LC-MS$^2$Struct (2D),CFM-ID
4,11.192637561859161,LC-MS$^2$Struct (2D),CFM-ID
5,13.390409925168216,LC-MS$^2$Struct (2D),CFM-ID
6,15.65971990691061,LC-MS$^2$Struct (2D),CFM-ID
7,17.58928693384689,LC-MS$^2$Struct (2D),CFM-ID
8,19.32622867236845,LC-MS$^2$Struct (2D),CFM-ID
9,21.12092381287879,LC-MS$^2$Struct (2D),CFM-ID
10,22.90464763666371,LC-MS$^2$Struct (2D),CFM-ID
11,24.744724432560627,LC-MS$^2$Struct (2D),CFM-ID
12,26.191988268077704,LC-MS$^2$Struct (2D),CFM-ID
13,27.533020310463897,LC-MS$^2$Struct (2D),CFM-ID
14,28.801455404291342,LC-MS$^2$Struct (2D),CFM-ID
15,30.169402390506985,LC-MS$^2$Struct (2D),CFM-ID
16,31.397062397286003,LC-MS$^2$Struct (2D),CFM-ID
17,32.58699422772546,LC-MS$^2$Struct (2D),CFM-ID
18,33.843118464881194,LC-MS$^2$Struct (2D),CFM-ID
19,34.82918907401614,LC-MS$^2$Struct (2D),CFM-ID
20,35.7592855919485,LC-MS$^2$Struct (2D),CFM-ID
1,5.5884838187764245,LC-MS$^2$Struct (3D),CFM-ID
2,9.367180314225624,LC-MS$^2$Struct (3D),CFM-ID
3,12.686799886259632,LC-MS$^2$Struct (3D),CFM-ID
4,15.664896114870817,LC-MS$^2$Struct (3D),CFM-ID
5,18.482068635695807,LC-MS$^2$Struct (3D),CFM-ID
6,21.04600850696912,LC-MS$^2$Struct (3D),CFM-ID
7,23.05228288555525,LC-MS$^2$Struct (3D),CFM-ID
