scoring_method,dataset,top_k_acc,ms2scorer,k
Only-MS$^2$,AC_003,1.0542424242424242,CFM-ID,1
LC-MS$^2$Struct (2D),AC_003,1.344363605331347,CFM-ID,1
LC-MS$^2$Struct (3D),AC_003,2.066666666666667,CFM-ID,1
Only-MS$^2$,AU_002,0.7989643571558463,CFM-ID,1
LC-MS$^2$Struct (2D),AU_002,1.0497053531264058,CFM-ID,1
LC-MS$^2$Struct (3D),AU_002,2.4,CFM-ID,1
Only-MS$^2$,BML_001,0.0,CFM-ID,1
LC-MS$^2$Struct (2D),BML_001,0.1262626262626262,CFM-ID,1
LC-MS$^2$Struct (3D),BML_001,0.0,CFM-ID,1
Only-MS$^2$,BS_000,7.633333333333335,CFM-ID,1
LC-MS$^2$Struct (2D),BS_000,8.004761904761905,CFM-ID,1
LC-MS$^2$Struct (3D),BS_000,9.2,CFM-ID,1
Only-MS$^2$,EA_002,0.1308083717357911,CFM-ID,1
LC-MS$^2$Struct (2D),EA_002,0.8200314293799014,CFM-ID,1
LC-MS$^2$Struct (3D),EA_002,1.7857142857142856,CFM-ID,1
Only-MS$^2$,EA_003,1.1884550084889642,CFM-ID,1
LC-MS$^2$Struct (2D),EA_003,1.1884550084889642,CFM-ID,1
LC-MS$^2$Struct (3D),EA_003,0.0,CFM-ID,1
Only-MS$^2$,EQ_004,2.857801240154181,CFM-ID,1
LC-MS$^2$Struct (2D),EQ_004,3.791508056213938,CFM-ID,1
LC-MS$^2$Struct (3D),EQ_004,3.92156862745098,CFM-ID,1
Only-MS$^2$,LQB_000,4.799823633156967,CFM-ID,1
LC-MS$^2$Struct (2D),LQB_000,7.62730479397146,CFM-ID,1
LC-MS$^2$Struct (3D),LQB_000,22.77777777777778,CFM-ID,1
Only-MS$^2$,LU_000,1.5333333333333332,CFM-ID,1
LC-MS$^2$Struct (2D),LU_000,1.5333333333333332,CFM-ID,1
LC-MS$^2$Struct (3D),LU_000,2.0,CFM-ID,1
Only-MS$^2$,LU_001,2.3466666666666667,CFM-ID,1
LC-MS$^2$Struct (2D),LU_001,2.4607407407407407,CFM-ID,1
LC-MS$^2$Struct (3D),LU_001,4.4,CFM-ID,1
Only-MS$^2$,NA_003,0.1701984251560735,CFM-ID,1
LC-MS$^2$Struct (2D),NA_003,0.4718417047184171,CFM-ID,1
LC-MS$^2$Struct (3D),NA_003,0.0,CFM-ID,1
Only-MS$^2$,PR_002,1.8286594286594287,CFM-ID,1
LC-MS$^2$Struct (2D),PR_002,1.884226684226684,CFM-ID,1
LC-MS$^2$Struct (3D),PR_002,2.7333333333333334,CFM-ID,1
Only-MS$^2$,RP_000,5.714285714285714,CFM-ID,1
LC-MS$^2$Struct (2D),RP_000,7.07482993197279,CFM-ID,1
LC-MS$^2$Struct (3D),RP_000,5.714285714285714,CFM-ID,1
Only-MS$^2$,RP_001,3.243605709359134,CFM-ID,1
LC-MS$^2$Struct (2D),RP_001,4.3068803342775945,CFM-ID,1
LC-MS$^2$Struct (3D),RP_001,8.21917808219178,CFM-ID,1
Only-MS$^2$,SM_001,1.111111111111111,CFM-ID,1
LC-MS$^2$Struct (2D),SM_001,2.222222222222222,CFM-ID,1
LC-MS$^2$Struct (3D),SM_001,3.333333333333333,CFM-ID,1
Only-MS$^2$,UT_000,7.12899209740168,CFM-ID,1
LC-MS$^2$Struct (2D),UT_000,7.682675902576546,CFM-ID,1
LC-MS$^2$Struct (3D),UT_000,14.890902006623808,CFM-ID,1
Only-MS$^2$,AVG.,2.9842730927370535,CFM-ID,1
LC-MS$^2$Struct (2D),AVG.,3.396194068642724,CFM-ID,1
LC-MS$^2$Struct (3D),AVG.,5.5884838187764245,CFM-ID,1
Only-MS$^2$,AC_003,29.759339998909883,CFM-ID,20
LC-MS$^2$Struct (2D),AC_003,33.7838561299314,CFM-ID,20
LC-MS$^2$Struct (3D),AC_003,37.6,CFM-ID,20
Only-MS$^2$,AU_002,17.92842620159206,CFM-ID,20
LC-MS$^2$Struct (2D),AU_002,23.437205260071025,CFM-ID,20
LC-MS$^2$Struct (3D),AU_002,31.22222222222222,CFM-ID,20
Only-MS$^2$,BML_001,29.56881413819212,CFM-ID,20
LC-MS$^2$Struct (2D),BML_001,31.037447843667938,CFM-ID,20
LC-MS$^2$Struct (3D),BML_001,33.33333333333333,CFM-ID,20
Only-MS$^2$,BS_000,30.892857142857146,CFM-ID,20
LC-MS$^2$Struct (2D),BS_000,35.162911571858935,CFM-ID,20
LC-MS$^2$Struct (3D),BS_000,42.4,CFM-ID,20
Only-MS$^2$,EA_002,24.593242954515564,CFM-ID,20
LC-MS$^2$Struct (2D),EA_002,26.340802461627757,CFM-ID,20
LC-MS$^2$Struct (3D),EA_002,26.785714285714285,CFM-ID,20
Only-MS$^2$,EA_003,27.83067556163004,CFM-ID,20
LC-MS$^2$Struct (2D),EA_003,29.325964399140958,CFM-ID,20
LC-MS$^2$Struct (3D),EA_003,33.33333333333333,CFM-ID,20
Only-MS$^2$,EQ_004,33.85157652804712,CFM-ID,20
LC-MS$^2$Struct (2D),EQ_004,36.13915822739352,CFM-ID,20
LC-MS$^2$Struct (3D),EQ_004,41.17647058823529,CFM-ID,20
Only-MS$^2$,LQB_000,75.33877131099352,CFM-ID,20
LC-MS$^2$Struct (2D),LQB_000,79.30041152263374,CFM-ID,20
LC-MS$^2$Struct (3D),LQB_000,84.07407407407406,CFM-ID,20
Only-MS$^2$,LU_000,43.872620234534494,CFM-ID,20
LC-MS$^2$Struct (2D),LU_000,48.38082528837306,CFM-ID,20
LC-MS$^2$Struct (3D),LU_000,54.0,CFM-ID,20
Only-MS$^2$,LU_001,35.604434197935035,CFM-ID,20
LC-MS$^2$Struct (2D),LU_001,38.28902172424743,CFM-ID,20
LC-MS$^2$Struct (3D),LU_001,42.0,CFM-ID,20
Only-MS$^2$,NA_003,13.859806965537528,CFM-ID,20
LC-MS$^2$Struct (2D),NA_003,13.67689426020978,CFM-ID,20
LC-MS$^2$Struct (3D),NA_003,16.43835616438356,CFM-ID,20
Only-MS$^2$,PR_002,22.97294719128885,CFM-ID,20
LC-MS$^2$Struct (2D),PR_002,25.14686258152384,CFM-ID,20
LC-MS$^2$Struct (3D),PR_002,30.8,CFM-ID,20
Only-MS$^2$,RP_000,31.904761904761894,CFM-ID,20
LC-MS$^2$Struct (2D),RP_000,35.90345727332029,CFM-ID,20
LC-MS$^2$Struct (3D),RP_000,40.00000000000001,CFM-ID,20
Only-MS$^2$,RP_001,33.805229931759555,CFM-ID,20
LC-MS$^2$Struct (2D),RP_001,35.100928558808675,CFM-ID,20
LC-MS$^2$Struct (3D),RP_001,42.465753424657535,CFM-ID,20
Only-MS$^2$,SM_001,38.93518518518519,CFM-ID,20
LC-MS$^2$Struct (2D),SM_001,40.833333333333336,CFM-ID,20
LC-MS$^2$Struct (3D),SM_001,46.66666666666666,CFM-ID,20
Only-MS$^2$,UT_000,64.11230131039645,CFM-ID,20
LC-MS$^2$Struct (2D),UT_000,66.16682347392505,CFM-ID,20
LC-MS$^2$Struct (3D),UT_000,76.2724852263134,CFM-ID,20
Only-MS$^2$,AVG.,32.264333484041046,CFM-ID,20
LC-MS$^2$Struct (2D),AVG.,35.7592855919485,CFM-ID,20
LC-MS$^2$Struct (3D),AVG.,41.44963571948505,CFM-ID,20
Only-MS$^2$,AC_003,2.8461567745880427,MetFrag,1
LC-MS$^2$Struct (2D),AC_003,3.6003341222696053,MetFrag,1
LC-MS$^2$Struct (3D),AC_003,8.0,MetFrag,1
Only-MS$^2$,AU_002,1.0607684549265861,MetFrag,1
LC-MS$^2$Struct (2D),AU_002,1.1444855413000234,MetFrag,1
LC-MS$^2$Struct (3D),AU_002,3.6666666666666665,MetFrag,1
Only-MS$^2$,BML_001,1.0021755564928212,MetFrag,1
LC-MS$^2$Struct (2D),BML_001,1.1695906432748535,MetFrag,1
LC-MS$^2$Struct (3D),BML_001,3.0303030303030303,MetFrag,1
Only-MS$^2$,BS_000,11.061858214055796,MetFrag,1
LC-MS$^2$Struct (2D),BS_000,11.114318936877076,MetFrag,1
LC-MS$^2$Struct (3D),BS_000,13.473492063492063,MetFrag,1
Only-MS$^2$,EA_002,2.342372011602544,MetFrag,1
LC-MS$^2$Struct (2D),EA_002,1.309523809523809,MetFrag,1
LC-MS$^2$Struct (3D),EA_002,5.059523809523809,MetFrag,1
Only-MS$^2$,EA_003,2.535433977621776,MetFrag,1
LC-MS$^2$Struct (2D),EA_003,3.070064010916484,MetFrag,1
LC-MS$^2$Struct (3D),EA_003,2.3391812865497075,MetFrag,1
Only-MS$^2$,EQ_004,1.1999788792697736,MetFrag,1
LC-MS$^2$Struct (2D),EQ_004,4.208190711011017,MetFrag,1
LC-MS$^2$Struct (3D),EQ_004,6.5359477124183,MetFrag,1
Only-MS$^2$,LQB_000,5.234383214474373,MetFrag,1
LC-MS$^2$Struct (2D),LQB_000,5.942199072316032,MetFrag,1
LC-MS$^2$Struct (3D),LQB_000,25.493827160493826,MetFrag,1
Only-MS$^2$,LU_000,5.250980392156862,MetFrag,1
LC-MS$^2$Struct (2D),LU_000,7.444444444444444,MetFrag,1
LC-MS$^2$Struct (3D),LU_000,4.0,MetFrag,1
Only-MS$^2$,LU_001,3.8707936507936505,MetFrag,1
LC-MS$^2$Struct (2D),LU_001,3.717777777777777,MetFrag,1
LC-MS$^2$Struct (3D),LU_001,7.333333333333333,MetFrag,1
Only-MS$^2$,NA_003,0.7842821099375678,MetFrag,1
LC-MS$^2$Struct (2D),NA_003,1.9986551731638087,MetFrag,1
LC-MS$^2$Struct (3D),NA_003,2.73972602739726,MetFrag,1
Only-MS$^2$,PR_002,1.8712504488975081,MetFrag,1
LC-MS$^2$Struct (2D),PR_002,2.1639493839493844,MetFrag,1
LC-MS$^2$Struct (3D),PR_002,2.933333333333333,MetFrag,1
Only-MS$^2$,RP_000,7.142087475472716,MetFrag,1
LC-MS$^2$Struct (2D),RP_000,6.53968253968254,MetFrag,1
LC-MS$^2$Struct (3D),RP_000,8.571428571428571,MetFrag,1
Only-MS$^2$,RP_001,5.775168514894542,MetFrag,1
LC-MS$^2$Struct (2D),RP_001,7.621419676214197,MetFrag,1
LC-MS$^2$Struct (3D),RP_001,6.849315068493151,MetFrag,1
Only-MS$^2$,SM_001,1.0434472934472936,MetFrag,1
LC-MS$^2$Struct (2D),SM_001,1.111111111111111,MetFrag,1
LC-MS$^2$Struct (3D),SM_001,3.333333333333333,MetFrag,1
Only-MS$^2$,UT_000,2.2475749056510006,MetFrag,1
LC-MS$^2$Struct (2D),UT_000,2.720024849749623,MetFrag,1
LC-MS$^2$Struct (3D),UT_000,6.7496270532506655,MetFrag,1
Only-MS$^2$,AVG.,3.9909375527707076,MetFrag,1
LC-MS$^2$Struct (2D),AVG.,4.296774342151899,MetFrag,1
LC-MS$^2$Struct (3D),AVG.,7.816791604899475,MetFrag,1
Only-MS$^2$,AC_003,43.60628375394235,MetFrag,20
LC-MS$^2$Struct (2D),AC_003,43.696289347682196,MetFrag,20
LC-MS$^2$Struct (3D),AC_003,45.06666666666667,MetFrag,20
Only-MS$^2$,AU_002,29.001286784542046,MetFrag,20
LC-MS$^2$Struct (2D),AU_002,29.500977858536302,MetFrag,20
LC-MS$^2$Struct (3D),AU_002,37.95555555555555,MetFrag,20
Only-MS$^2$,BML_001,32.04170221813165,MetFrag,20
LC-MS$^2$Struct (2D),BML_001,36.61411687727475,MetFrag,20
LC-MS$^2$Struct (3D),BML_001,39.39393939393939,MetFrag,20
Only-MS$^2$,BS_000,35.01002174794876,MetFrag,20
LC-MS$^2$Struct (2D),BS_000,39.21746444374598,MetFrag,20
LC-MS$^2$Struct (3D),BS_000,46.990476190476194,MetFrag,20
Only-MS$^2$,EA_002,40.793131912713406,MetFrag,20
LC-MS$^2$Struct (2D),EA_002,44.28575788407096,MetFrag,20
LC-MS$^2$Struct (3D),EA_002,46.42857142857143,MetFrag,20
Only-MS$^2$,EA_003,46.088113420258345,MetFrag,20
LC-MS$^2$Struct (2D),EA_003,49.17165426548311,MetFrag,20
LC-MS$^2$Struct (3D),EA_003,54.38596491228071,MetFrag,20
Only-MS$^2$,EQ_004,40.33051005693053,MetFrag,20
LC-MS$^2$Struct (2D),EQ_004,48.72346160858746,MetFrag,20
LC-MS$^2$Struct (3D),EQ_004,49.01960784313725,MetFrag,20
Only-MS$^2$,LQB_000,71.89918267911044,MetFrag,20
LC-MS$^2$Struct (2D),LQB_000,74.99978170645288,MetFrag,20
LC-MS$^2$Struct (3D),LQB_000,81.7283950617284,MetFrag,20
Only-MS$^2$,LU_000,60.57794229142972,MetFrag,20
LC-MS$^2$Struct (2D),LU_000,55.39834164986837,MetFrag,20
LC-MS$^2$Struct (3D),LU_000,62.000000000000014,MetFrag,20
Only-MS$^2$,LU_001,48.742160716669716,MetFrag,20
LC-MS$^2$Struct (2D),LU_001,48.42567902167377,MetFrag,20
LC-MS$^2$Struct (3D),LU_001,56.46666666666667,MetFrag,20
Only-MS$^2$,NA_003,28.04629331458226,MetFrag,20
LC-MS$^2$Struct (2D),NA_003,30.515346387014404,MetFrag,20
LC-MS$^2$Struct (3D),NA_003,35.61643835616437,MetFrag,20
Only-MS$^2$,PR_002,15.28497277283082,MetFrag,20
LC-MS$^2$Struct (2D),PR_002,14.784406911354104,MetFrag,20
LC-MS$^2$Struct (3D),PR_002,17.6,MetFrag,20
Only-MS$^2$,RP_000,46.48496253886532,MetFrag,20
LC-MS$^2$Struct (2D),RP_000,48.73015873015872,MetFrag,20
LC-MS$^2$Struct (3D),RP_000,52.1904761904762,MetFrag,20
