k,avg_top_k_acc,scoring_method,ms2scorer
15,46.51842636922237,LC-MS$^2$Struct (2D),CFM-ID
16,47.59305575387886,LC-MS$^2$Struct (2D),CFM-ID
17,48.55143354354781,LC-MS$^2$Struct (2D),CFM-ID
18,49.37802646079344,LC-MS$^2$Struct (2D),CFM-ID
19,50.233612623544246,LC-MS$^2$Struct (2D),CFM-ID
20,51.065585210375026,LC-MS$^2$Struct (2D),CFM-ID
1,10.520167111759202,LC-MS$^2$Struct (3D),CFM-ID
2,18.21147841928903,LC-MS$^2$Struct (3D),CFM-ID
3,23.970336891393618,LC-MS$^2$Struct (3D),CFM-ID
4,28.25431727004973,LC-MS$^2$Struct (3D),CFM-ID
5,31.87710357124393,LC-MS$^2$Struct (3D),CFM-ID
6,34.85212298461777,LC-MS$^2$Struct (3D),CFM-ID
7,37.210099674235565,LC-MS$^2$Struct (3D),CFM-ID
8,39.16625861444614,LC-MS$^2$Struct (3D),CFM-ID
9,41.10033740846055,LC-MS$^2$Struct (3D),CFM-ID
10,42.68277062689533,LC-MS$^2$Struct (3D),CFM-ID
11,44.21357462080341,LC-MS$^2$Struct (3D),CFM-ID
12,45.68121419998385,LC-MS$^2$Struct (3D),CFM-ID
13,46.85110171309341,LC-MS$^2$Struct (3D),CFM-ID
14,47.92963334526413,LC-MS$^2$Struct (3D),CFM-ID
15,48.99564042622543,LC-MS$^2$Struct (3D),CFM-ID
16,50.02230666528514,LC-MS$^2$Struct (3D),CFM-ID
17,50.85991603074178,LC-MS$^2$Struct (3D),CFM-ID
18,51.79354687471488,LC-MS$^2$Struct (3D),CFM-ID
19,52.54743674486698,LC-MS$^2$Struct (3D),CFM-ID
20,53.20106126077256,LC-MS$^2$Struct (3D),CFM-ID
1,6.823181486496132,Only-MS$^2$,MetFrag
2,13.123290626425796,Only-MS$^2$,MetFrag
3,18.01866028461618,Only-MS$^2$,MetFrag
4,22.71874959537099,Only-MS$^2$,MetFrag
5,26.25925272493735,Only-MS$^2$,MetFrag
6,29.218871416366767,Only-MS$^2$,MetFrag
7,31.600643697776245,Only-MS$^2$,MetFrag
8,33.19197208690593,Only-MS$^2$,MetFrag
9,34.88950583959004,Only-MS$^2$,MetFrag
10,36.71245866299071,Only-MS$^2$,MetFrag
11,38.13865146448374,Only-MS$^2$,MetFrag
12,39.49898130185344,Only-MS$^2$,MetFrag
13,40.816599286996954,Only-MS$^2$,MetFrag
14,41.89499942324394,Only-MS$^2$,MetFrag
15,42.89435268807395,Only-MS$^2$,MetFrag
16,43.77180224617621,Only-MS$^2$,MetFrag
17,44.503046284672735,Only-MS$^2$,MetFrag
18,45.42361411173224,Only-MS$^2$,MetFrag
19,46.2576071684934,Only-MS$^2$,MetFrag
20,46.95864892187338,Only-MS$^2$,MetFrag
1,11.313384512684475,LC-MS$^2$Struct (2D),MetFrag
2,18.843230586721166,LC-MS$^2$Struct (2D),MetFrag
3,25.060383016702588,LC-MS$^2$Struct (2D),MetFrag
4,30.239700748833446,LC-MS$^2$Struct (2D),MetFrag
5,33.85480603015251,LC-MS$^2$Struct (2D),MetFrag
6,36.65385526426461,LC-MS$^2$Struct (2D),MetFrag
7,38.936975159639225,LC-MS$^2$Struct (2D),MetFrag
8,41.02986815684322,LC-MS$^2$Struct (2D),MetFrag
9,42.72623467198932,LC-MS$^2$Struct (2D),MetFrag
10,44.53010926415704,LC-MS$^2$Struct (2D),MetFrag
11,46.14337150652246,LC-MS$^2$Struct (2D),MetFrag
12,47.53429143941546,LC-MS$^2$Struct (2D),MetFrag
13,48.93790788433433,LC-MS$^2$Struct (2D),MetFrag
14,50.11784443387195,LC-MS$^2$Struct (2D),MetFrag
15,51.21995421009045,LC-MS$^2$Struct (2D),MetFrag
16,52.25659699288023,LC-MS$^2$Struct (2D),MetFrag
17,53.17124900721342,LC-MS$^2$Struct (2D),MetFrag
18,54.0599833697727,LC-MS$^2$Struct (2D),MetFrag
19,54.87613258169858,LC-MS$^2$Struct (2D),MetFrag
20,55.580149448512145,LC-MS$^2$Struct (2D),MetFrag
1,14.061002523106369,LC-MS$^2$Struct (3D),MetFrag
2,22.319952657430605,LC-MS$^2$Struct (3D),MetFrag
3,28.52405703886486,LC-MS$^2$Struct (3D),MetFrag
4,33.50916822897789,LC-MS$^2$Struct (3D),MetFrag
5,36.94150406333421,LC-MS$^2$Struct (3D),MetFrag
6,39.99268206044811,LC-MS$^2$Struct (3D),MetFrag
7,42.31392283060029,LC-MS$^2$Struct (3D),MetFrag
8,44.18619755239841,LC-MS$^2$Struct (3D),MetFrag
9,45.91517498782138,LC-MS$^2$Struct (3D),MetFrag
10,47.64197741512358,LC-MS$^2$Struct (3D),MetFrag
11,49.17344654498139,LC-MS$^2$Struct (3D),MetFrag
12,50.52901568140449,LC-MS$^2$Struct (3D),MetFrag
13,51.807543792147236,LC-MS$^2$Struct (3D),MetFrag
14,52.85294417023399,LC-MS$^2$Struct (3D),MetFrag
15,53.99103383281434,LC-MS$^2$Struct (3D),MetFrag
16,54.89790345381231,LC-MS$^2$Struct (3D),MetFrag
17,55.90013222043015,LC-MS$^2$Struct (3D),MetFrag
18,56.712425961826995,LC-MS$^2$Struct (3D),MetFrag
19,57.58516338143341,LC-MS$^2$Struct (3D),MetFrag
20,58.27423908977507,LC-MS$^2$Struct (3D),MetFrag
1,35.93812722354121,Only-MS$^2$,SIRIUS
2,49.159108795427734,Only-MS$^2$,SIRIUS
3,55.81797191031646,Only-MS$^2$,SIRIUS
4,59.83421633929879,Only-MS$^2$,SIRIUS
5,63.25035675323016,Only-MS$^2$,SIRIUS
6,65.331817282283,Only-MS$^2$,SIRIUS
7,67.66481918190237,Only-MS$^2$,SIRIUS
8,69.35735074316113,Only-MS$^2$,SIRIUS
9,70.3313544796271,Only-MS$^2$,SIRIUS
10,71.61442152100335,Only-MS$^2$,SIRIUS
11,72.57145001493899,Only-MS$^2$,SIRIUS
12,73.06368779386126,Only-MS$^2$,SIRIUS
13,73.93442541209981,Only-MS$^2$,SIRIUS
14,74.72131108378386,Only-MS$^2$,SIRIUS
15,75.3487730816487,Only-MS$^2$,SIRIUS
