classyfire_class,top_k_p_onlyms,top_k_p_lcms2struct,top_k_p_improvement,n_cand,n_isomers,n_class_support,k,ms2scorer,improvement_in_n
Benzene and substituted derivatives,5.342416316930816,8.650834637454354,3.308418320523541,1022.5,"min=1, max=41, avg=1.9, med=1.0",640,1,CFM-ID,21.173877251350664
Carboxylic acids and derivatives,6.741442667844013,11.40596846846847,4.664525800624455,2357.0,"min=1, max=93, avg=6.9, med=3.0",223,1,CFM-ID,10.401892535392536
Coumarins and derivatives,3.321428571428573,6.857142857142858,3.5357142857142865,377.5,"min=1, max=31, avg=3.6, med=1.0",56,1,CFM-ID,1.9800000000000006
Fatty Acyls,2.7493438320209957,10.75590551181102,8.00656167979003,1157.0,"min=1, max=72, avg=6.2, med=3.0",127,1,CFM-ID,10.168333333333338
Flavonoids,4.875000000000001,9.472222222222223,4.597222222222221,166.0,"min=1, max=91, avg=8.7, med=3.0",288,1,CFM-ID,13.239999999999998
Glycerophospholipids,10.29168574307506,17.008430609597923,6.716744866522862,75.0,"min=1, max=15, avg=2.3, med=2.0",514,1,CFM-ID,34.52406861392751
Indoles and derivatives,4.615384615384616,5.107692307692308,0.49230769230769234,2195.0,"min=1, max=26, avg=3.6, med=1.0",65,1,CFM-ID,0.32
Isoflavonoids,13.789473684210526,15.192982456140339,1.403508771929824,354.0,"min=1, max=28, avg=4.9, med=1.0",57,1,CFM-ID,0.7999999999999997
Organonitrogen compounds,11.78378378378379,12.972972972972979,1.189189189189189,881.5,"min=1, max=18, avg=2.5, med=1.0",74,1,CFM-ID,0.8799999999999999
Organooxygen compounds,20.119526061015435,30.64114038050207,10.521614319486659,88.5,"min=1, max=154, avg=11.4, med=3.0",188,1,CFM-ID,19.780634920634917
Prenol lipids,10.220959096305357,20.05741626794258,9.836457171637228,69.0,"min=1, max=156, avg=21.9, med=12.0",209,1,CFM-ID,20.558195488721807
Quinolines and derivatives,0.24630541871921177,1.724137931034482,1.4778325123152727,916.5,"min=1, max=22, avg=2.7, med=1.0",58,1,CFM-ID,0.8571428571428582
Sphingolipids,7.400547922287051,24.976073762838464,17.575525840551414,48.0,"min=1, max=14, avg=3.9, med=3.0",63,1,CFM-ID,11.072581279547391
Steroids and steroid derivatives,6.6309182209469135,8.463414634146345,1.832496413199425,224.5,"min=1, max=244, avg=35.8, med=31.5",164,1,CFM-ID,3.0052941176470567
Benzene and substituted derivatives,41.88554025903306,48.91780125195619,7.03226099292313,1022.5,"min=1, max=41, avg=1.9, med=1.0",640,20,CFM-ID,45.006470354708036
Carboxylic acids and derivatives,41.225839869337605,51.691983944226095,10.466144074888483,2357.0,"min=1, max=93, avg=6.9, med=3.0",223,20,CFM-ID,23.339501287001315
Coumarins and derivatives,35.35714285714286,40.642857142857146,5.285714285714285,377.5,"min=1, max=31, avg=3.6, med=1.0",56,20,CFM-ID,2.9599999999999995
Fatty Acyls,23.700787401574807,52.70866141732284,29.00787401574804,1157.0,"min=1, max=72, avg=6.2, med=3.0",127,20,CFM-ID,36.84000000000001
Flavonoids,53.04861111111109,63.22916666666668,10.180555555555557,166.0,"min=1, max=91, avg=8.7, med=3.0",288,20,CFM-ID,29.320000000000004
Glycerophospholipids,78.55014592765393,86.86042103162727,8.310275103973332,75.0,"min=1, max=15, avg=2.3, med=2.0",514,20,CFM-ID,42.71481403442292
Indoles and derivatives,20.646153846153847,25.230769230769237,4.584615384615384,2195.0,"min=1, max=26, avg=3.6, med=1.0",65,20,CFM-ID,2.98
Isoflavonoids,51.29824561403509,58.105263157894754,6.807017543859652,354.0,"min=1, max=28, avg=4.9, med=1.0",57,20,CFM-ID,3.8800000000000017
Organonitrogen compounds,42.135135135135144,47.70270270270274,5.567567567567575,881.5,"min=1, max=18, avg=2.5, med=1.0",74,20,CFM-ID,4.120000000000005
Organooxygen compounds,67.88545030676865,76.09839018349656,8.2129398767279,88.5,"min=1, max=154, avg=11.4, med=3.0",188,20,CFM-ID,15.440326968248451
Prenol lipids,53.03162211749469,68.21052631578947,15.178904198294779,69.0,"min=1, max=156, avg=21.9, med=12.0",209,20,CFM-ID,31.723909774436088
Quinolines and derivatives,24.882477128782547,29.103448275862064,4.2209711470795215,916.5,"min=1, max=22, avg=2.7, med=1.0",58,20,CFM-ID,2.4481632653061225
