classyfire_class,top_k_p_onlyms,top_k_p_lcms2struct,top_k_p_improvement,n_cand,n_isomers,n_class_support,k,ms2scorer,improvement_in_n
Sphingolipids,68.85488151536296,79.3650793650794,10.510197849716405,48.0,"min=1, max=14, avg=3.9, med=3.0",63,20,CFM-ID,6.621424645321335
Steroids and steroid derivatives,44.51323405728983,54.7439024390244,10.23066838173454,224.5,"min=1, max=244, avg=35.8, med=31.5",164,20,CFM-ID,16.778296146044646
Benzene and substituted derivatives,6.395877339175936,12.259491555816378,5.863614216640444,1022.5,"min=1, max=41, avg=1.9, med=1.0",640,1,MetFrag,37.52713098649884
Carboxylic acids and derivatives,10.629555263238082,19.75843945322645,9.128884189988364,2357.0,"min=1, max=93, avg=6.9, med=3.0",223,1,MetFrag,20.357411743674053
Coumarins and derivatives,7.014104094451731,9.964285714285706,2.9501816198339834,377.5,"min=1, max=31, avg=3.6, med=1.0",56,1,MetFrag,1.6521017071070307
Fatty Acyls,8.447600765223696,16.482958380202476,8.035357614978778,1157.0,"min=1, max=72, avg=6.2, med=3.0",127,1,MetFrag,10.204904171023049
Flavonoids,4.876291077227536,8.409722222222221,3.5334311449946854,166.0,"min=1, max=91, avg=8.7, med=3.0",288,1,MetFrag,10.176281697584693
Glycerophospholipids,7.340759601447664,20.325129474934926,12.984369873487264,75.0,"min=1, max=15, avg=2.3, med=2.0",514,1,MetFrag,66.73966114972454
Indoles and derivatives,6.293834553413887,9.046153846153842,2.7523192927399616,2195.0,"min=1, max=26, avg=3.6, med=1.0",65,1,MetFrag,1.789007540280975
Isoflavonoids,11.368421052631579,15.122807017543856,3.75438596491228,354.0,"min=1, max=28, avg=4.9, med=1.0",57,1,MetFrag,2.1399999999999992
Organonitrogen compounds,3.2714504208109387,7.770270270270273,4.49881984945933,881.5,"min=1, max=18, avg=2.5, med=1.0",74,1,MetFrag,3.329126688599904
Organooxygen compounds,20.66830259593332,29.832545311268714,9.1642427153354,88.5,"min=1, max=154, avg=11.4, med=3.0",188,1,MetFrag,17.22877630483055
Prenol lipids,15.611784158123562,28.937799043062196,13.326014884938637,69.0,"min=1, max=156, avg=21.9, med=12.0",209,1,MetFrag,27.85137110952175
Quinolines and derivatives,3.425651033663206,4.482758620689655,1.0571075870264515,916.5,"min=1, max=22, avg=2.7, med=1.0",58,1,MetFrag,0.6131224004753418
Sphingolipids,1.9909581432229726,2.5280477148124203,0.5370895715894483,48.0,"min=1, max=14, avg=3.9, med=3.0",63,1,MetFrag,0.3383664301013524
Steroids and steroid derivatives,7.401346406458539,12.134146341463413,4.732799935004874,224.5,"min=1, max=244, avg=35.8, med=31.5",164,1,MetFrag,7.761791893407994
Benzene and substituted derivatives,47.094222050607,57.19272544992175,10.098503399314772,1022.5,"min=1, max=41, avg=1.9, med=1.0",640,20,MetFrag,64.63042175561455
Carboxylic acids and derivatives,52.74665815899213,65.60524662234302,12.85858846335089,2357.0,"min=1, max=93, avg=6.9, med=3.0",223,20,MetFrag,28.674652273272482
Coumarins and derivatives,30.722558079510833,38.03571428571429,7.313156206203452,377.5,"min=1, max=31, avg=3.6, med=1.0",56,20,MetFrag,4.095367475473933
Fatty Acyls,38.16426292785797,69.69668166479192,31.532418736933938,1157.0,"min=1, max=72, avg=6.2, med=3.0",127,20,MetFrag,40.046171795906105
Flavonoids,38.5100409965169,52.02083333333333,13.510792336816436,166.0,"min=1, max=91, avg=8.7, med=3.0",288,20,MetFrag,38.91108193003134
Glycerophospholipids,66.0197482773534,76.76098382810433,10.74123555075091,75.0,"min=1, max=15, avg=2.3, med=2.0",514,20,MetFrag,55.209950730859674
Indoles and derivatives,32.523558940414155,39.230769230769226,6.707210290355076,2195.0,"min=1, max=26, avg=3.6, med=1.0",65,20,MetFrag,4.3596866887307995
Isoflavonoids,34.5263157894737,48.5964912280702,14.070175438596493,354.0,"min=1, max=28, avg=4.9, med=1.0",57,20,MetFrag,8.020000000000001
Organonitrogen compounds,40.465406883651646,45.86486486486489,5.399457981213218,881.5,"min=1, max=18, avg=2.5, med=1.0",74,20,MetFrag,3.9955989060977815
Organooxygen compounds,69.91929382922527,77.69115163796013,7.771857808734865,88.5,"min=1, max=154, avg=11.4, med=3.0",188,20,MetFrag,14.611092680421546
Prenol lipids,60.897116576808436,72.14354066985645,11.246424093048011,69.0,"min=1, max=156, avg=21.9, med=12.0",209,20,MetFrag,23.505026354470342
Quinolines and derivatives,24.487158604298607,39.86206896551724,15.374910361218642,916.5,"min=1, max=22, avg=2.7, med=1.0",58,20,MetFrag,8.917448009506812
Sphingolipids,63.02549449271801,79.4400895400896,16.414595047371574,48.0,"min=1, max=14, avg=3.9, med=3.0",63,20,MetFrag,10.34119487984409
Steroids and steroid derivatives,40.05305525654387,52.231707317073166,12.178652060529314,224.5,"min=1, max=244, avg=35.8, med=31.5",164,20,MetFrag,19.972989379268075
Benzene and substituted derivatives,30.394239045383415,30.312871674491394,-0.08136737089201851,1022.5,"min=1, max=41, avg=1.9, med=1.0",640,1,SIRIUS,-0.5207511737089184
Carboxylic acids and derivatives,37.91045728223419,39.329261316088676,1.418804033854482,2357.0,"min=1, max=93, avg=6.9, med=3.0",223,1,SIRIUS,3.163932995495495
Coumarins and derivatives,27.39285714285713,31.821428571428566,4.428571428571428,377.5,"min=1, max=31, avg=3.6, med=1.0",56,1,SIRIUS,2.4799999999999995
Fatty Acyls,32.92913385826772,35.96850393700786,3.0393700787401583,1157.0,"min=1, max=72, avg=6.2, med=3.0",127,1,SIRIUS,3.860000000000001
Flavonoids,23.062500000000004,25.736111111111104,2.673611111111112,166.0,"min=1, max=91, avg=8.7, med=3.0",288,1,SIRIUS,7.700000000000002
Glycerophospholipids,19.078645407896957,23.635874177702973,4.557228769806008,75.0,"min=1, max=15, avg=2.3, med=2.0",514,1,SIRIUS,23.424155876802878
Indoles and derivatives,23.476923076923075,22.58461538461539,-0.8923076923076928,2195.0,"min=1, max=26, avg=3.6, med=1.0",65,1,SIRIUS,-0.5800000000000004
Isoflavonoids,20.982456140350873,22.28070175438597,1.2982456140350878,354.0,"min=1, max=28, avg=4.9, med=1.0",57,1,SIRIUS,0.74
Organonitrogen compounds,44.79054054054053,42.628378378378365,-2.1621621621621636,881.5,"min=1, max=18, avg=2.5, med=1.0",74,1,SIRIUS,-1.6000000000000012
Organooxygen compounds,28.78146960730101,34.76470888715883,5.983239279857823,88.5,"min=1, max=154, avg=11.4, med=3.0",188,1,SIRIUS,11.248489846132708
Prenol lipids,28.67942583732058,39.34928229665073,10.669856459330147,69.0,"min=1, max=156, avg=21.9, med=12.0",209,1,SIRIUS,22.300000000000004
Quinolines and derivatives,30.758620689655178,30.034482758620697,-0.7241379310344837,916.5,"min=1, max=22, avg=2.7, med=1.0",58,1,SIRIUS,-0.4200000000000005
Sphingolipids,4.066821807718167,12.728284110847133,8.661462303128964,48.0,"min=1, max=14, avg=3.9, med=3.0",63,1,SIRIUS,5.456721250971247
Steroids and steroid derivatives,32.8170731707317,35.12195121951219,2.3048780487804876,224.5,"min=1, max=244, avg=35.8, med=31.5",164,1,SIRIUS,3.78
Benzene and substituted derivatives,75.58343114241002,76.6976271517997,1.1141960093896575,1022.5,"min=1, max=41, avg=1.9, med=1.0",640,20,SIRIUS,7.130854460093808
Carboxylic acids and derivatives,73.8851279210024,77.43053764045914,3.545409719456805,2357.0,"min=1, max=93, avg=6.9, med=3.0",223,20,SIRIUS,7.906263674388676
Coumarins and derivatives,79.3571428571428,77.07142857142854,-2.2857142857142865,377.5,"min=1, max=31, avg=3.6, med=1.0",56,20,SIRIUS,-1.2800000000000005
Fatty Acyls,67.63779527559058,71.05511811023621,3.417322834645663,1157.0,"min=1, max=72, avg=6.2, med=3.0",127,20,SIRIUS,4.339999999999992
Flavonoids,83.00694444444446,84.0138888888889,1.0069444444444446,166.0,"min=1, max=91, avg=8.7, med=3.0",288,20,SIRIUS,2.9000000000000004
Glycerophospholipids,61.665138039651474,66.52047433759489,4.8553362979434205,75.0,"min=1, max=15, avg=2.3, med=2.0",514,20,SIRIUS,24.956428571429182
Indoles and derivatives,56.215384615384636,57.6,1.3846153846153835,2195.0,"min=1, max=26, avg=3.6, med=1.0",65,20,SIRIUS,0.8999999999999992
Isoflavonoids,81.0877192982456,82.91228070175437,1.8245614035087714,354.0,"min=1, max=28, avg=4.9, med=1.0",57,20,SIRIUS,1.0399999999999998
Organonitrogen compounds,74.45045045045049,72.72972972972971,-1.720720720720714,881.5,"min=1, max=18, avg=2.5, med=1.0",74,20,SIRIUS,-1.2733333333333283
Organooxygen compounds,75.59377231622081,78.7655830829084,3.1718107666876096,88.5,"min=1, max=154, avg=11.4, med=3.0",188,20,SIRIUS,5.9630042413727065
Prenol lipids,81.55023923444976,86.74641148325361,5.196172248803831,69.0,"min=1, max=156, avg=21.9, med=12.0",209,20,SIRIUS,10.860000000000007
Quinolines and derivatives,65.37931034482756,69.62068965517246,4.241379310344825,916.5,"min=1, max=22, avg=2.7, med=1.0",58,20,SIRIUS,2.459999999999998
Sphingolipids,80.89669372022387,80.11152772427342,-0.7851659959504477,48.0,"min=1, max=14, avg=3.9, med=3.0",63,20,SIRIUS,-0.494654577448782
Steroids and steroid derivatives,82.42682926829269,85.24390243902437,2.8170731707317045,224.5,"min=1, max=244, avg=35.8, med=31.5",164,20,SIRIUS,4.619999999999996
