scoring_method,k,n_models,top_k_acc
LC-MS$^2$Struct,1,1,36.0
LC-MS$^2$Struct,20,1,76.0
Only-MS$^2$,1,1,32.0
Only-MS$^2$,20,1,76.0
LC-MS$^2$Struct,1,2,38.0
LC-MS$^2$Struct,20,2,74.0
Only-MS$^2$,1,2,32.0
Only-MS$^2$,20,2,76.0
LC-MS$^2$Struct,1,3,36.0
LC-MS$^2$Struct,20,3,74.0
Only-MS$^2$,1,3,32.0
Only-MS$^2$,20,3,76.0
LC-MS$^2$Struct,1,4,38.0
LC-MS$^2$Struct,20,4,76.0
Only-MS$^2$,1,4,32.0
Only-MS$^2$,20,4,76.0
LC-MS$^2$Struct,1,5,38.0
LC-MS$^2$Struct,20,5,76.0
Only-MS$^2$,1,5,32.0
Only-MS$^2$,20,5,76.0
LC-MS$^2$Struct,1,6,38.0
LC-MS$^2$Struct,20,6,74.0
Only-MS$^2$,1,6,32.0
Only-MS$^2$,20,6,76.0
LC-MS$^2$Struct,1,7,36.0
LC-MS$^2$Struct,20,7,74.0
Only-MS$^2$,1,7,32.0
Only-MS$^2$,20,7,76.0
LC-MS$^2$Struct,1,8,38.0
LC-MS$^2$Struct,20,8,74.0
Only-MS$^2$,1,8,32.0
Only-MS$^2$,20,8,76.0
LC-MS$^2$Struct,1,1,25.0
LC-MS$^2$Struct,20,1,57.99999999999999
Only-MS$^2$,1,1,23.0
Only-MS$^2$,20,1,57.99999999999999
LC-MS$^2$Struct,1,2,27.0
LC-MS$^2$Struct,20,2,57.99999999999999
Only-MS$^2$,1,2,23.0
Only-MS$^2$,20,2,57.99999999999999
LC-MS$^2$Struct,1,3,27.0
LC-MS$^2$Struct,20,3,60.0
Only-MS$^2$,1,3,23.0
Only-MS$^2$,20,3,57.99999999999999
LC-MS$^2$Struct,1,4,29.0
LC-MS$^2$Struct,20,4,62.0
Only-MS$^2$,1,4,23.0
Only-MS$^2$,20,4,57.99999999999999
LC-MS$^2$Struct,1,5,25.0
LC-MS$^2$Struct,20,5,62.0
Only-MS$^2$,1,5,23.0
Only-MS$^2$,20,5,57.99999999999999
LC-MS$^2$Struct,1,6,29.0
LC-MS$^2$Struct,20,6,60.0
Only-MS$^2$,1,6,23.0
Only-MS$^2$,20,6,57.99999999999999
LC-MS$^2$Struct,1,7,27.0
LC-MS$^2$Struct,20,7,57.99999999999999
Only-MS$^2$,1,7,23.0
Only-MS$^2$,20,7,57.99999999999999
LC-MS$^2$Struct,1,8,25.0
LC-MS$^2$Struct,20,8,57.99999999999999
Only-MS$^2$,1,8,23.0
Only-MS$^2$,20,8,57.99999999999999
LC-MS$^2$Struct,1,1,31.0
LC-MS$^2$Struct,20,1,64.0
Only-MS$^2$,1,1,31.0
Only-MS$^2$,20,1,62.0
LC-MS$^2$Struct,1,2,33.0
LC-MS$^2$Struct,20,2,64.0
Only-MS$^2$,1,2,31.0
Only-MS$^2$,20,2,62.0
LC-MS$^2$Struct,1,3,33.0
LC-MS$^2$Struct,20,3,64.0
Only-MS$^2$,1,3,31.0
Only-MS$^2$,20,3,62.0
LC-MS$^2$Struct,1,4,33.0
LC-MS$^2$Struct,20,4,64.0
Only-MS$^2$,1,4,31.0
Only-MS$^2$,20,4,62.0
LC-MS$^2$Struct,1,5,35.0
LC-MS$^2$Struct,20,5,64.0
Only-MS$^2$,1,5,31.0
Only-MS$^2$,20,5,62.0
LC-MS$^2$Struct,1,6,33.0
LC-MS$^2$Struct,20,6,64.0
Only-MS$^2$,1,6,31.0
Only-MS$^2$,20,6,62.0
LC-MS$^2$Struct,1,7,33.0
LC-MS$^2$Struct,20,7,64.0
Only-MS$^2$,1,7,31.0
Only-MS$^2$,20,7,62.0
LC-MS$^2$Struct,1,8,33.0
LC-MS$^2$Struct,20,8,64.0
Only-MS$^2$,1,8,31.0
Only-MS$^2$,20,8,62.0
LC-MS$^2$Struct,1,1,33.0
LC-MS$^2$Struct,20,1,60.0
Only-MS$^2$,1,1,27.0
Only-MS$^2$,20,1,60.0
LC-MS$^2$Struct,1,2,31.0
LC-MS$^2$Struct,20,2,60.0
Only-MS$^2$,1,2,27.0
Only-MS$^2$,20,2,60.0
LC-MS$^2$Struct,1,3,31.0
LC-MS$^2$Struct,20,3,60.0
Only-MS$^2$,1,3,27.0
Only-MS$^2$,20,3,60.0
LC-MS$^2$Struct,1,4,31.0
LC-MS$^2$Struct,20,4,60.0
Only-MS$^2$,1,4,27.0
Only-MS$^2$,20,4,60.0
LC-MS$^2$Struct,1,5,29.0
LC-MS$^2$Struct,20,5,60.0
Only-MS$^2$,1,5,27.0
Only-MS$^2$,20,5,60.0
LC-MS$^2$Struct,1,6,29.0
LC-MS$^2$Struct,20,6,60.0
Only-MS$^2$,1,6,27.0
Only-MS$^2$,20,6,60.0
LC-MS$^2$Struct,1,7,29.0
LC-MS$^2$Struct,20,7,60.0
Only-MS$^2$,1,7,27.0
Only-MS$^2$,20,7,60.0
LC-MS$^2$Struct,1,8,29.0
LC-MS$^2$Struct,20,8,62.0
Only-MS$^2$,1,8,27.0
Only-MS$^2$,20,8,60.0
LC-MS$^2$Struct,1,1,18.0
LC-MS$^2$Struct,20,1,64.0
Only-MS$^2$,1,1,18.0
Only-MS$^2$,20,1,66.0
LC-MS$^2$Struct,1,2,18.0
LC-MS$^2$Struct,20,2,64.0
Only-MS$^2$,1,2,18.0
Only-MS$^2$,20,2,66.0
LC-MS$^2$Struct,1,3,20.0
LC-MS$^2$Struct,20,3,64.0
Only-MS$^2$,1,3,18.0
Only-MS$^2$,20,3,66.0
LC-MS$^2$Struct,1,4,18.0
LC-MS$^2$Struct,20,4,62.0
Only-MS$^2$,1,4,18.0
Only-MS$^2$,20,4,66.0
LC-MS$^2$Struct,1,5,20.0
LC-MS$^2$Struct,20,5,64.0
Only-MS$^2$,1,5,18.0
Only-MS$^2$,20,5,66.0
LC-MS$^2$Struct,1,6,20.0
LC-MS$^2$Struct,20,6,64.0
Only-MS$^2$,1,6,18.0
Only-MS$^2$,20,6,66.0
LC-MS$^2$Struct,1,7,20.0
LC-MS$^2$Struct,20,7,62.0
Only-MS$^2$,1,7,18.0
Only-MS$^2$,20,7,66.0
LC-MS$^2$Struct,1,8,20.0
LC-MS$^2$Struct,20,8,62.0
Only-MS$^2$,1,8,18.0
Only-MS$^2$,20,8,66.0
LC-MS$^2$Struct,1,1,19.0
LC-MS$^2$Struct,20,1,64.0
Only-MS$^2$,1,1,19.0
Only-MS$^2$,20,1,64.0
LC-MS$^2$Struct,1,2,19.0
LC-MS$^2$Struct,20,2,64.0
Only-MS$^2$,1,2,19.0
Only-MS$^2$,20,2,64.0
LC-MS$^2$Struct,1,3,19.0
LC-MS$^2$Struct,20,3,62.0
Only-MS$^2$,1,3,19.0
Only-MS$^2$,20,3,64.0
LC-MS$^2$Struct,1,4,19.0
LC-MS$^2$Struct,20,4,64.0
Only-MS$^2$,1,4,19.0
Only-MS$^2$,20,4,64.0
LC-MS$^2$Struct,1,5,21.0
LC-MS$^2$Struct,20,5,64.0
Only-MS$^2$,1,5,19.0
Only-MS$^2$,20,5,64.0
LC-MS$^2$Struct,1,6,19.0
LC-MS$^2$Struct,20,6,64.0
Only-MS$^2$,1,6,19.0
Only-MS$^2$,20,6,64.0
LC-MS$^2$Struct,1,7,21.0
LC-MS$^2$Struct,20,7,62.0
Only-MS$^2$,1,7,19.0
Only-MS$^2$,20,7,64.0
LC-MS$^2$Struct,1,8,21.0
LC-MS$^2$Struct,20,8,62.0
Only-MS$^2$,1,8,19.0
Only-MS$^2$,20,8,64.0
LC-MS$^2$Struct,1,1,30.0
LC-MS$^2$Struct,20,1,68.0
Only-MS$^2$,1,1,32.0
Only-MS$^2$,20,1,68.0
LC-MS$^2$Struct,1,2,32.0
LC-MS$^2$Struct,20,2,68.0
Only-MS$^2$,1,2,32.0
Only-MS$^2$,20,2,68.0
LC-MS$^2$Struct,1,3,32.0
LC-MS$^2$Struct,20,3,68.0
Only-MS$^2$,1,3,32.0
Only-MS$^2$,20,3,68.0
LC-MS$^2$Struct,1,4,34.0
LC-MS$^2$Struct,20,4,68.0
Only-MS$^2$,1,4,32.0
Only-MS$^2$,20,4,68.0
LC-MS$^2$Struct,1,5,34.0
LC-MS$^2$Struct,20,5,68.0
Only-MS$^2$,1,5,32.0
Only-MS$^2$,20,5,68.0
LC-MS$^2$Struct,1,6,34.0
LC-MS$^2$Struct,20,6,68.0
Only-MS$^2$,1,6,32.0
Only-MS$^2$,20,6,68.0
LC-MS$^2$Struct,1,7,34.0
LC-MS$^2$Struct,20,7,68.0
Only-MS$^2$,1,7,32.0
Only-MS$^2$,20,7,68.0
LC-MS$^2$Struct,1,8,34.0
LC-MS$^2$Struct,20,8,68.0
Only-MS$^2$,1,8,32.0
Only-MS$^2$,20,8,68.0
LC-MS$^2$Struct,1,1,29.0
LC-MS$^2$Struct,20,1,57.99999999999999
Only-MS$^2$,1,1,25.0
Only-MS$^2$,20,1,54.0
LC-MS$^2$Struct,1,2,29.0
LC-MS$^2$Struct,20,2,56.00000000000001
Only-MS$^2$,1,2,25.0
Only-MS$^2$,20,2,54.0
LC-MS$^2$Struct,1,3,29.0
LC-MS$^2$Struct,20,3,56.00000000000001
Only-MS$^2$,1,3,25.0
Only-MS$^2$,20,3,54.0
LC-MS$^2$Struct,1,4,31.0
LC-MS$^2$Struct,20,4,56.00000000000001
Only-MS$^2$,1,4,25.0
Only-MS$^2$,20,4,54.0
LC-MS$^2$Struct,1,5,29.0
LC-MS$^2$Struct,20,5,54.0
Only-MS$^2$,1,5,25.0
Only-MS$^2$,20,5,54.0
LC-MS$^2$Struct,1,6,31.0
LC-MS$^2$Struct,20,6,56.00000000000001
Only-MS$^2$,1,6,25.0
Only-MS$^2$,20,6,54.0
LC-MS$^2$Struct,1,7,31.0
LC-MS$^2$Struct,20,7,56.00000000000001
Only-MS$^2$,1,7,25.0
Only-MS$^2$,20,7,54.0
LC-MS$^2$Struct,1,8,31.0
LC-MS$^2$Struct,20,8,54.0
Only-MS$^2$,1,8,25.0
Only-MS$^2$,20,8,54.0
LC-MS$^2$Struct,1,1,40.0
LC-MS$^2$Struct,20,1,70.0
Only-MS$^2$,1,1,32.0
Only-MS$^2$,20,1,68.0
LC-MS$^2$Struct,1,2,40.0
LC-MS$^2$Struct,20,2,70.0
Only-MS$^2$,1,2,32.0
Only-MS$^2$,20,2,68.0
LC-MS$^2$Struct,1,3,42.0
LC-MS$^2$Struct,20,3,72.0
Only-MS$^2$,1,3,32.0
Only-MS$^2$,20,3,68.0
LC-MS$^2$Struct,1,4,44.0
LC-MS$^2$Struct,20,4,70.0
Only-MS$^2$,1,4,32.0
Only-MS$^2$,20,4,68.0
LC-MS$^2$Struct,1,5,40.0
LC-MS$^2$Struct,20,5,68.0
Only-MS$^2$,1,5,32.0
Only-MS$^2$,20,5,68.0
LC-MS$^2$Struct,1,6,40.0
LC-MS$^2$Struct,20,6,72.0
Only-MS$^2$,1,6,32.0
Only-MS$^2$,20,6,68.0
LC-MS$^2$Struct,1,7,40.0
LC-MS$^2$Struct,20,7,72.0
Only-MS$^2$,1,7,32.0
Only-MS$^2$,20,7,68.0
LC-MS$^2$Struct,1,8,40.0
LC-MS$^2$Struct,20,8,68.0
Only-MS$^2$,1,8,32.0
Only-MS$^2$,20,8,68.0
LC-MS$^2$Struct,1,1,33.0
LC-MS$^2$Struct,20,1,68.0
Only-MS$^2$,1,1,27.0
Only-MS$^2$,20,1,68.0
LC-MS$^2$Struct,1,2,35.0
LC-MS$^2$Struct,20,2,70.0
Only-MS$^2$,1,2,27.0
Only-MS$^2$,20,2,68.0
LC-MS$^2$Struct,1,3,33.0
LC-MS$^2$Struct,20,3,70.0
Only-MS$^2$,1,3,27.0
Only-MS$^2$,20,3,68.0
LC-MS$^2$Struct,1,4,33.0
LC-MS$^2$Struct,20,4,70.0
Only-MS$^2$,1,4,27.0
Only-MS$^2$,20,4,68.0
LC-MS$^2$Struct,1,5,33.0
LC-MS$^2$Struct,20,5,70.0
Only-MS$^2$,1,5,27.0
Only-MS$^2$,20,5,68.0
LC-MS$^2$Struct,1,6,33.0
LC-MS$^2$Struct,20,6,68.0
Only-MS$^2$,1,6,27.0
Only-MS$^2$,20,6,68.0
LC-MS$^2$Struct,1,7,33.0
LC-MS$^2$Struct,20,7,68.0
Only-MS$^2$,1,7,27.0
Only-MS$^2$,20,7,68.0
LC-MS$^2$Struct,1,8,33.0
LC-MS$^2$Struct,20,8,68.0
Only-MS$^2$,1,8,27.0
Only-MS$^2$,20,8,68.0
LC-MS$^2$Struct,1,1,40.0
LC-MS$^2$Struct,20,1,72.0
Only-MS$^2$,1,1,36.0
Only-MS$^2$,20,1,72.0
LC-MS$^2$Struct,1,2,42.0
LC-MS$^2$Struct,20,2,72.0
Only-MS$^2$,1,2,36.0
Only-MS$^2$,20,2,72.0
LC-MS$^2$Struct,1,3,40.0
LC-MS$^2$Struct,20,3,72.0
Only-MS$^2$,1,3,36.0
Only-MS$^2$,20,3,72.0
LC-MS$^2$Struct,1,4,42.0
LC-MS$^2$Struct,20,4,72.0
Only-MS$^2$,1,4,36.0
Only-MS$^2$,20,4,72.0
LC-MS$^2$Struct,1,5,42.0
LC-MS$^2$Struct,20,5,72.0
Only-MS$^2$,1,5,36.0
Only-MS$^2$,20,5,72.0
LC-MS$^2$Struct,1,6,40.0
LC-MS$^2$Struct,20,6,72.0
Only-MS$^2$,1,6,36.0
Only-MS$^2$,20,6,72.0
LC-MS$^2$Struct,1,7,40.0
LC-MS$^2$Struct,20,7,72.0
Only-MS$^2$,1,7,36.0
Only-MS$^2$,20,7,72.0
LC-MS$^2$Struct,1,8,40.0
LC-MS$^2$Struct,20,8,72.0
Only-MS$^2$,1,8,36.0
Only-MS$^2$,20,8,72.0
LC-MS$^2$Struct,1,1,24.0
LC-MS$^2$Struct,20,1,66.0
Only-MS$^2$,1,1,24.0
Only-MS$^2$,20,1,66.0
LC-MS$^2$Struct,1,2,26.0
LC-MS$^2$Struct,20,2,68.0
Only-MS$^2$,1,2,24.0
Only-MS$^2$,20,2,66.0
LC-MS$^2$Struct,1,3,30.0
LC-MS$^2$Struct,20,3,64.0
Only-MS$^2$,1,3,24.0
Only-MS$^2$,20,3,66.0
LC-MS$^2$Struct,1,4,30.0
LC-MS$^2$Struct,20,4,64.0
Only-MS$^2$,1,4,24.0
Only-MS$^2$,20,4,66.0
LC-MS$^2$Struct,1,5,30.0
LC-MS$^2$Struct,20,5,66.0
Only-MS$^2$,1,5,24.0
Only-MS$^2$,20,5,66.0
LC-MS$^2$Struct,1,6,28.000000000000004
LC-MS$^2$Struct,20,6,66.0
Only-MS$^2$,1,6,24.0
Only-MS$^2$,20,6,66.0
LC-MS$^2$Struct,1,7,30.0
LC-MS$^2$Struct,20,7,66.0
Only-MS$^2$,1,7,24.0
Only-MS$^2$,20,7,66.0
LC-MS$^2$Struct,1,8,28.000000000000004
LC-MS$^2$Struct,20,8,66.0
Only-MS$^2$,1,8,24.0
Only-MS$^2$,20,8,66.0
LC-MS$^2$Struct,1,1,28.000000000000004
LC-MS$^2$Struct,20,1,60.0
Only-MS$^2$,1,1,26.0
Only-MS$^2$,20,1,60.0
LC-MS$^2$Struct,1,2,30.0
LC-MS$^2$Struct,20,2,62.0
Only-MS$^2$,1,2,26.0
Only-MS$^2$,20,2,60.0
LC-MS$^2$Struct,1,3,32.0
LC-MS$^2$Struct,20,3,62.0
Only-MS$^2$,1,3,26.0
Only-MS$^2$,20,3,60.0
LC-MS$^2$Struct,1,4,30.0
LC-MS$^2$Struct,20,4,60.0
Only-MS$^2$,1,4,26.0
Only-MS$^2$,20,4,60.0
LC-MS$^2$Struct,1,5,32.0
LC-MS$^2$Struct,20,5,60.0
Only-MS$^2$,1,5,26.0
Only-MS$^2$,20,5,60.0
LC-MS$^2$Struct,1,6,32.0
LC-MS$^2$Struct,20,6,60.0
Only-MS$^2$,1,6,26.0
Only-MS$^2$,20,6,60.0
LC-MS$^2$Struct,1,7,32.0
LC-MS$^2$Struct,20,7,60.0
Only-MS$^2$,1,7,26.0
Only-MS$^2$,20,7,60.0
LC-MS$^2$Struct,1,8,30.0
LC-MS$^2$Struct,20,8,60.0
