scoring_method,k,n_models,top_k_acc
Only-MS$^2$,1,8,26.0
Only-MS$^2$,20,8,60.0
LC-MS$^2$Struct,1,1,37.0
LC-MS$^2$Struct,20,1,64.0
Only-MS$^2$,1,1,33.0
Only-MS$^2$,20,1,62.0
LC-MS$^2$Struct,1,2,39.0
LC-MS$^2$Struct,20,2,64.0
Only-MS$^2$,1,2,33.0
Only-MS$^2$,20,2,62.0
LC-MS$^2$Struct,1,3,45.0
LC-MS$^2$Struct,20,3,64.0
Only-MS$^2$,1,3,33.0
Only-MS$^2$,20,3,62.0
LC-MS$^2$Struct,1,4,41.0
LC-MS$^2$Struct,20,4,64.0
Only-MS$^2$,1,4,33.0
Only-MS$^2$,20,4,62.0
LC-MS$^2$Struct,1,5,39.0
LC-MS$^2$Struct,20,5,64.0
Only-MS$^2$,1,5,33.0
Only-MS$^2$,20,5,62.0
LC-MS$^2$Struct,1,6,39.0
LC-MS$^2$Struct,20,6,62.0
Only-MS$^2$,1,6,33.0
Only-MS$^2$,20,6,62.0
LC-MS$^2$Struct,1,7,39.0
LC-MS$^2$Struct,20,7,62.0
Only-MS$^2$,1,7,33.0
Only-MS$^2$,20,7,62.0
LC-MS$^2$Struct,1,8,39.0
LC-MS$^2$Struct,20,8,62.0
Only-MS$^2$,1,8,33.0
Only-MS$^2$,20,8,62.0
LC-MS$^2$Struct,1,1,31.0
LC-MS$^2$Struct,20,1,70.0
Only-MS$^2$,1,1,23.0
Only-MS$^2$,20,1,68.0
LC-MS$^2$Struct,1,2,35.0
LC-MS$^2$Struct,20,2,68.0
Only-MS$^2$,1,2,23.0
Only-MS$^2$,20,2,68.0
LC-MS$^2$Struct,1,3,35.0
LC-MS$^2$Struct,20,3,70.0
Only-MS$^2$,1,3,23.0
Only-MS$^2$,20,3,68.0
LC-MS$^2$Struct,1,4,31.0
LC-MS$^2$Struct,20,4,68.0
Only-MS$^2$,1,4,23.0
Only-MS$^2$,20,4,68.0
LC-MS$^2$Struct,1,5,35.0
LC-MS$^2$Struct,20,5,70.0
Only-MS$^2$,1,5,23.0
Only-MS$^2$,20,5,68.0
LC-MS$^2$Struct,1,6,29.0
LC-MS$^2$Struct,20,6,68.0
Only-MS$^2$,1,6,23.0
Only-MS$^2$,20,6,68.0
LC-MS$^2$Struct,1,7,31.0
LC-MS$^2$Struct,20,7,68.0
Only-MS$^2$,1,7,23.0
Only-MS$^2$,20,7,68.0
LC-MS$^2$Struct,1,8,31.0
LC-MS$^2$Struct,20,8,68.0
Only-MS$^2$,1,8,23.0
Only-MS$^2$,20,8,68.0
LC-MS$^2$Struct,1,1,24.0
LC-MS$^2$Struct,20,1,68.0
Only-MS$^2$,1,1,24.666666666666668
Only-MS$^2$,20,1,66.0
LC-MS$^2$Struct,1,2,28.000000000000004
LC-MS$^2$Struct,20,2,68.0
Only-MS$^2$,1,2,24.666666666666668
Only-MS$^2$,20,2,66.0
LC-MS$^2$Struct,1,3,28.000000000000004
LC-MS$^2$Struct,20,3,66.0
Only-MS$^2$,1,3,24.666666666666668
Only-MS$^2$,20,3,66.0
LC-MS$^2$Struct,1,4,26.0
LC-MS$^2$Struct,20,4,66.0
Only-MS$^2$,1,4,24.666666666666668
Only-MS$^2$,20,4,66.0
LC-MS$^2$Struct,1,5,30.0
LC-MS$^2$Struct,20,5,64.0
Only-MS$^2$,1,5,24.666666666666668
Only-MS$^2$,20,5,66.0
LC-MS$^2$Struct,1,6,30.0
LC-MS$^2$Struct,20,6,66.0
Only-MS$^2$,1,6,24.666666666666668
Only-MS$^2$,20,6,66.0
LC-MS$^2$Struct,1,7,28.000000000000004
LC-MS$^2$Struct,20,7,66.0
Only-MS$^2$,1,7,24.666666666666668
Only-MS$^2$,20,7,66.0
LC-MS$^2$Struct,1,8,26.0
LC-MS$^2$Struct,20,8,66.0
Only-MS$^2$,1,8,24.666666666666668
Only-MS$^2$,20,8,66.0
LC-MS$^2$Struct,1,1,39.0
LC-MS$^2$Struct,20,1,72.0
Only-MS$^2$,1,1,38.66666666666666
Only-MS$^2$,20,1,74.0
LC-MS$^2$Struct,1,2,37.0
LC-MS$^2$Struct,20,2,74.0
Only-MS$^2$,1,2,38.66666666666666
Only-MS$^2$,20,2,74.0
LC-MS$^2$Struct,1,3,40.0
LC-MS$^2$Struct,20,3,72.0
Only-MS$^2$,1,3,38.66666666666666
Only-MS$^2$,20,3,74.0
LC-MS$^2$Struct,1,4,38.0
LC-MS$^2$Struct,20,4,74.0
Only-MS$^2$,1,4,38.66666666666666
Only-MS$^2$,20,4,74.0
LC-MS$^2$Struct,1,5,38.0
LC-MS$^2$Struct,20,5,74.0
Only-MS$^2$,1,5,38.66666666666666
Only-MS$^2$,20,5,74.0
LC-MS$^2$Struct,1,6,38.0
LC-MS$^2$Struct,20,6,74.0
Only-MS$^2$,1,6,38.66666666666666
Only-MS$^2$,20,6,74.0
LC-MS$^2$Struct,1,7,40.0
LC-MS$^2$Struct,20,7,74.0
Only-MS$^2$,1,7,38.66666666666666
Only-MS$^2$,20,7,74.0
LC-MS$^2$Struct,1,8,40.0
LC-MS$^2$Struct,20,8,74.0
Only-MS$^2$,1,8,38.66666666666666
Only-MS$^2$,20,8,74.0
LC-MS$^2$Struct,1,1,40.0
LC-MS$^2$Struct,20,1,72.0
Only-MS$^2$,1,1,39.0
Only-MS$^2$,20,1,72.0
LC-MS$^2$Struct,1,2,38.0
LC-MS$^2$Struct,20,2,72.0
Only-MS$^2$,1,2,39.0
Only-MS$^2$,20,2,72.0
LC-MS$^2$Struct,1,3,38.0
LC-MS$^2$Struct,20,3,72.0
Only-MS$^2$,1,3,39.0
Only-MS$^2$,20,3,72.0
LC-MS$^2$Struct,1,4,38.0
LC-MS$^2$Struct,20,4,72.0
Only-MS$^2$,1,4,39.0
Only-MS$^2$,20,4,72.0
LC-MS$^2$Struct,1,5,40.0
LC-MS$^2$Struct,20,5,72.0
Only-MS$^2$,1,5,39.0
Only-MS$^2$,20,5,72.0
LC-MS$^2$Struct,1,6,36.0
LC-MS$^2$Struct,20,6,72.0
Only-MS$^2$,1,6,39.0
Only-MS$^2$,20,6,72.0
LC-MS$^2$Struct,1,7,36.0
LC-MS$^2$Struct,20,7,72.0
Only-MS$^2$,1,7,39.0
Only-MS$^2$,20,7,72.0
LC-MS$^2$Struct,1,8,36.0
LC-MS$^2$Struct,20,8,72.0
Only-MS$^2$,1,8,39.0
Only-MS$^2$,20,8,72.0
LC-MS$^2$Struct,1,1,27.0
LC-MS$^2$Struct,20,1,60.0
Only-MS$^2$,1,1,25.666666666666664
Only-MS$^2$,20,1,62.0
LC-MS$^2$Struct,1,2,27.0
LC-MS$^2$Struct,20,2,62.0
Only-MS$^2$,1,2,25.666666666666664
Only-MS$^2$,20,2,62.0
LC-MS$^2$Struct,1,3,27.0
LC-MS$^2$Struct,20,3,64.0
Only-MS$^2$,1,3,25.666666666666664
Only-MS$^2$,20,3,62.0
LC-MS$^2$Struct,1,4,27.0
LC-MS$^2$Struct,20,4,66.0
Only-MS$^2$,1,4,25.666666666666664
Only-MS$^2$,20,4,62.0
LC-MS$^2$Struct,1,5,27.0
LC-MS$^2$Struct,20,5,64.0
Only-MS$^2$,1,5,25.666666666666664
Only-MS$^2$,20,5,62.0
LC-MS$^2$Struct,1,6,27.0
LC-MS$^2$Struct,20,6,64.0
Only-MS$^2$,1,6,25.666666666666664
Only-MS$^2$,20,6,62.0
LC-MS$^2$Struct,1,7,27.0
LC-MS$^2$Struct,20,7,62.0
Only-MS$^2$,1,7,25.666666666666664
Only-MS$^2$,20,7,62.0
LC-MS$^2$Struct,1,8,27.0
LC-MS$^2$Struct,20,8,62.0
Only-MS$^2$,1,8,25.666666666666664
Only-MS$^2$,20,8,62.0
LC-MS$^2$Struct,1,1,33.0
LC-MS$^2$Struct,20,1,64.0
Only-MS$^2$,1,1,28.666666666666668
Only-MS$^2$,20,1,70.0
LC-MS$^2$Struct,1,2,29.0
LC-MS$^2$Struct,20,2,70.0
Only-MS$^2$,1,2,28.666666666666668
Only-MS$^2$,20,2,70.0
LC-MS$^2$Struct,1,3,29.0
LC-MS$^2$Struct,20,3,72.0
Only-MS$^2$,1,3,28.666666666666668
Only-MS$^2$,20,3,70.0
LC-MS$^2$Struct,1,4,33.0
LC-MS$^2$Struct,20,4,72.0
Only-MS$^2$,1,4,28.666666666666668
Only-MS$^2$,20,4,70.0
LC-MS$^2$Struct,1,5,31.0
LC-MS$^2$Struct,20,5,70.0
Only-MS$^2$,1,5,28.666666666666668
Only-MS$^2$,20,5,70.0
LC-MS$^2$Struct,1,6,31.0
LC-MS$^2$Struct,20,6,70.0
Only-MS$^2$,1,6,28.666666666666668
Only-MS$^2$,20,6,70.0
LC-MS$^2$Struct,1,7,31.0
LC-MS$^2$Struct,20,7,70.0
Only-MS$^2$,1,7,28.666666666666668
Only-MS$^2$,20,7,70.0
LC-MS$^2$Struct,1,8,34.0
LC-MS$^2$Struct,20,8,70.0
Only-MS$^2$,1,8,28.666666666666668
Only-MS$^2$,20,8,70.0
LC-MS$^2$Struct,1,1,28.000000000000004
LC-MS$^2$Struct,20,1,62.0
Only-MS$^2$,1,1,32.0
Only-MS$^2$,20,1,68.0
LC-MS$^2$Struct,1,2,28.000000000000004
LC-MS$^2$Struct,20,2,66.0
Only-MS$^2$,1,2,32.0
Only-MS$^2$,20,2,68.0
LC-MS$^2$Struct,1,3,30.0
LC-MS$^2$Struct,20,3,66.0
Only-MS$^2$,1,3,32.0
Only-MS$^2$,20,3,68.0
LC-MS$^2$Struct,1,4,30.0
LC-MS$^2$Struct,20,4,66.0
Only-MS$^2$,1,4,32.0
Only-MS$^2$,20,4,68.0
LC-MS$^2$Struct,1,5,28.000000000000004
LC-MS$^2$Struct,20,5,66.0
Only-MS$^2$,1,5,32.0
Only-MS$^2$,20,5,68.0
LC-MS$^2$Struct,1,6,30.0
LC-MS$^2$Struct,20,6,66.0
Only-MS$^2$,1,6,32.0
Only-MS$^2$,20,6,68.0
LC-MS$^2$Struct,1,7,32.0
LC-MS$^2$Struct,20,7,66.0
Only-MS$^2$,1,7,32.0
Only-MS$^2$,20,7,68.0
LC-MS$^2$Struct,1,8,30.0
LC-MS$^2$Struct,20,8,66.0
Only-MS$^2$,1,8,32.0
Only-MS$^2$,20,8,68.0
LC-MS$^2$Struct,1,1,31.0
LC-MS$^2$Struct,20,1,68.0
Only-MS$^2$,1,1,32.0
Only-MS$^2$,20,1,70.0
LC-MS$^2$Struct,1,2,30.0
LC-MS$^2$Struct,20,2,68.0
Only-MS$^2$,1,2,32.0
Only-MS$^2$,20,2,70.0
LC-MS$^2$Struct,1,3,30.0
LC-MS$^2$Struct,20,3,68.0
Only-MS$^2$,1,3,32.0
Only-MS$^2$,20,3,70.0
LC-MS$^2$Struct,1,4,30.0
LC-MS$^2$Struct,20,4,68.0
Only-MS$^2$,1,4,32.0
Only-MS$^2$,20,4,70.0
LC-MS$^2$Struct,1,5,30.0
LC-MS$^2$Struct,20,5,68.0
Only-MS$^2$,1,5,32.0
Only-MS$^2$,20,5,70.0
LC-MS$^2$Struct,1,6,30.0
LC-MS$^2$Struct,20,6,68.0
Only-MS$^2$,1,6,32.0
Only-MS$^2$,20,6,70.0
LC-MS$^2$Struct,1,7,32.0
LC-MS$^2$Struct,20,7,68.0
Only-MS$^2$,1,7,32.0
Only-MS$^2$,20,7,70.0
LC-MS$^2$Struct,1,8,30.0
LC-MS$^2$Struct,20,8,70.0
Only-MS$^2$,1,8,32.0
