k,avg_top_k_acc,scoring_method,ms2scorer
9,70.33827796153706,Only-MS$^2$,SIRIUS
10,71.62868261891732,Only-MS$^2$,SIRIUS
11,72.58199656670304,Only-MS$^2$,SIRIUS
12,73.07253391291557,Only-MS$^2$,SIRIUS
13,73.94750853250541,Only-MS$^2$,SIRIUS
14,74.71900171369157,Only-MS$^2$,SIRIUS
15,75.34535313231875,Only-MS$^2$,SIRIUS
16,75.88681134722033,Only-MS$^2$,SIRIUS
17,76.36226866916678,Only-MS$^2$,SIRIUS
18,76.82108383298649,Only-MS$^2$,SIRIUS
19,77.31121486868744,Only-MS$^2$,SIRIUS
20,77.60977742503732,Only-MS$^2$,SIRIUS
1,38.09160461218988,LC-MS$^2$Struct,SIRIUS
2,51.28712852112273,LC-MS$^2$Struct,SIRIUS
3,58.35027252262799,LC-MS$^2$Struct,SIRIUS
4,62.602329656875504,LC-MS$^2$Struct,SIRIUS
5,66.02257829542995,LC-MS$^2$Struct,SIRIUS
6,68.13139292654816,LC-MS$^2$Struct,SIRIUS
7,70.06179559781715,LC-MS$^2$Struct,SIRIUS
8,71.3390076948722,LC-MS$^2$Struct,SIRIUS
9,72.39840968352655,LC-MS$^2$Struct,SIRIUS
10,73.4124516394402,LC-MS$^2$Struct,SIRIUS
11,74.29774842097379,LC-MS$^2$Struct,SIRIUS
12,75.022487533104,LC-MS$^2$Struct,SIRIUS
13,75.68602054874508,LC-MS$^2$Struct,SIRIUS
14,76.23323207233774,LC-MS$^2$Struct,SIRIUS
15,76.74298646794126,LC-MS$^2$Struct,SIRIUS
16,77.39016476521319,LC-MS$^2$Struct,SIRIUS
17,77.84187341169948,LC-MS$^2$Struct,SIRIUS
18,78.28303843647683,LC-MS$^2$Struct,SIRIUS
19,78.61247197524688,LC-MS$^2$Struct,SIRIUS
20,79.06438233612784,LC-MS$^2$Struct,SIRIUS
1,34.88871822499597,MS$^2$+RT,SIRIUS
2,47.70832872552864,MS$^2$+RT,SIRIUS
3,54.12214339387287,MS$^2$+RT,SIRIUS
4,58.050470734154835,MS$^2$+RT,SIRIUS
5,61.38324922919321,MS$^2$+RT,SIRIUS
6,63.48745231690375,MS$^2$+RT,SIRIUS
7,65.72738798953657,MS$^2$+RT,SIRIUS
8,67.26163910929652,MS$^2$+RT,SIRIUS
9,68.1766211795818,MS$^2$+RT,SIRIUS
10,69.41766499015743,MS$^2$+RT,SIRIUS
11,70.34111676691903,MS$^2$+RT,SIRIUS
12,70.87401911190408,MS$^2$+RT,SIRIUS
13,71.76057481015397,MS$^2$+RT,SIRIUS
14,72.50772434791003,MS$^2$+RT,SIRIUS
15,73.0871905140664,MS$^2$+RT,SIRIUS
16,73.57515560309464,MS$^2$+RT,SIRIUS
17,74.08074626358999,MS$^2$+RT,SIRIUS
18,74.52732826558143,MS$^2$+RT,SIRIUS
19,74.89103314058923,MS$^2$+RT,SIRIUS
20,75.17404660405415,MS$^2$+RT,SIRIUS
1,35.407608749935626,MS$^2$+logP,SIRIUS
2,48.42960784984679,MS$^2$+logP,SIRIUS
3,55.16751268553739,MS$^2$+logP,SIRIUS
4,59.34566496482732,MS$^2$+logP,SIRIUS
5,62.80927243183658,MS$^2$+logP,SIRIUS
6,65.08139763588744,MS$^2$+logP,SIRIUS
7,67.13212796400406,MS$^2$+logP,SIRIUS
8,68.81216631825,MS$^2$+logP,SIRIUS
9,70.2415366525316,MS$^2$+logP,SIRIUS
10,71.14550914052744,MS$^2$+logP,SIRIUS
11,72.07795963762726,MS$^2$+logP,SIRIUS
12,72.75620423445493,MS$^2$+logP,SIRIUS
13,73.66335043385232,MS$^2$+logP,SIRIUS
14,74.29155827251891,MS$^2$+logP,SIRIUS
15,74.92944707758917,MS$^2$+logP,SIRIUS
16,75.70288079386691,MS$^2$+logP,SIRIUS
17,76.24289686819675,MS$^2$+logP,SIRIUS
18,76.75516903746015,MS$^2$+logP,SIRIUS
19,77.19950575427247,MS$^2$+logP,SIRIUS
20,77.58947299325013,MS$^2$+logP,SIRIUS
1,36.79657322978452,MS$^2$+RO,SIRIUS
2,50.26040692084965,MS$^2$+RO,SIRIUS
3,57.19455846908942,MS$^2$+RO,SIRIUS
4,61.30662652939445,MS$^2$+RO,SIRIUS
5,64.65234967695612,MS$^2$+RO,SIRIUS
6,67.11575474624634,MS$^2$+RO,SIRIUS
7,69.26715081771069,MS$^2$+RO,SIRIUS
8,70.57169281517972,MS$^2$+RO,SIRIUS
9,71.81214634707383,MS$^2$+RO,SIRIUS
10,72.92905254292334,MS$^2$+RO,SIRIUS
11,73.731877743885,MS$^2$+RO,SIRIUS
12,74.40404539957207,MS$^2$+RO,SIRIUS
13,75.19788338357425,MS$^2$+RO,SIRIUS
14,75.7899648272039,MS$^2$+RO,SIRIUS
15,76.45702213152131,MS$^2$+RO,SIRIUS
16,77.00869370831761,MS$^2$+RO,SIRIUS
17,77.52901782082584,MS$^2$+RO,SIRIUS
18,78.02438154637034,MS$^2$+RO,SIRIUS
19,78.43944771435723,MS$^2$+RO,SIRIUS
20,78.86502101475392,MS$^2$+RO,SIRIUS
