scoring_method,k,n_models,top_k_acc
Only-MS$^2$,20,8,34.0
LC-MS$^2$Struct,1,1,10.0
LC-MS$^2$Struct,20,1,42.0
Only-MS$^2$,1,1,6.0
Only-MS$^2$,20,1,32.0
LC-MS$^2$Struct,1,2,8.0
LC-MS$^2$Struct,20,2,46.0
Only-MS$^2$,1,2,6.0
Only-MS$^2$,20,2,32.0
LC-MS$^2$Struct,1,3,6.0
LC-MS$^2$Struct,20,3,46.0
Only-MS$^2$,1,3,6.0
Only-MS$^2$,20,3,32.0
LC-MS$^2$Struct,1,4,8.0
LC-MS$^2$Struct,20,4,44.0
Only-MS$^2$,1,4,6.0
Only-MS$^2$,20,4,32.0
LC-MS$^2$Struct,1,5,8.0
LC-MS$^2$Struct,20,5,44.0
Only-MS$^2$,1,5,6.0
Only-MS$^2$,20,5,32.0
LC-MS$^2$Struct,1,6,8.0
LC-MS$^2$Struct,20,6,46.0
Only-MS$^2$,1,6,6.0
Only-MS$^2$,20,6,32.0
LC-MS$^2$Struct,1,7,8.0
LC-MS$^2$Struct,20,7,46.0
Only-MS$^2$,1,7,6.0
Only-MS$^2$,20,7,32.0
LC-MS$^2$Struct,1,8,8.0
LC-MS$^2$Struct,20,8,48.0
Only-MS$^2$,1,8,6.0
Only-MS$^2$,20,8,32.0
LC-MS$^2$Struct,1,1,8.0
LC-MS$^2$Struct,20,1,46.0
Only-MS$^2$,1,1,6.0
Only-MS$^2$,20,1,30.0
LC-MS$^2$Struct,1,2,8.0
LC-MS$^2$Struct,20,2,46.0
Only-MS$^2$,1,2,6.0
Only-MS$^2$,20,2,30.0
LC-MS$^2$Struct,1,3,8.0
LC-MS$^2$Struct,20,3,46.0
Only-MS$^2$,1,3,6.0
Only-MS$^2$,20,3,30.0
LC-MS$^2$Struct,1,4,6.0
LC-MS$^2$Struct,20,4,44.0
Only-MS$^2$,1,4,6.0
Only-MS$^2$,20,4,30.0
LC-MS$^2$Struct,1,5,6.0
LC-MS$^2$Struct,20,5,44.0
Only-MS$^2$,1,5,6.0
Only-MS$^2$,20,5,30.0
LC-MS$^2$Struct,1,6,8.0
LC-MS$^2$Struct,20,6,44.0
Only-MS$^2$,1,6,6.0
Only-MS$^2$,20,6,30.0
LC-MS$^2$Struct,1,7,8.0
LC-MS$^2$Struct,20,7,46.0
Only-MS$^2$,1,7,6.0
Only-MS$^2$,20,7,30.0
LC-MS$^2$Struct,1,8,8.0
LC-MS$^2$Struct,20,8,44.0
Only-MS$^2$,1,8,6.0
Only-MS$^2$,20,8,30.0
LC-MS$^2$Struct,1,1,6.0
LC-MS$^2$Struct,20,1,38.0
Only-MS$^2$,1,1,4.0
Only-MS$^2$,20,1,26.0
LC-MS$^2$Struct,1,2,6.0
LC-MS$^2$Struct,20,2,38.0
Only-MS$^2$,1,2,4.0
Only-MS$^2$,20,2,26.0
LC-MS$^2$Struct,1,3,6.0
LC-MS$^2$Struct,20,3,42.0
Only-MS$^2$,1,3,4.0
Only-MS$^2$,20,3,26.0
LC-MS$^2$Struct,1,4,6.0
LC-MS$^2$Struct,20,4,42.0
Only-MS$^2$,1,4,4.0
Only-MS$^2$,20,4,26.0
LC-MS$^2$Struct,1,5,4.0
LC-MS$^2$Struct,20,5,40.0
Only-MS$^2$,1,5,4.0
Only-MS$^2$,20,5,26.0
LC-MS$^2$Struct,1,6,4.0
LC-MS$^2$Struct,20,6,40.0
Only-MS$^2$,1,6,4.0
Only-MS$^2$,20,6,26.0
LC-MS$^2$Struct,1,7,4.0
LC-MS$^2$Struct,20,7,38.0
Only-MS$^2$,1,7,4.0
Only-MS$^2$,20,7,26.0
LC-MS$^2$Struct,1,8,4.0
LC-MS$^2$Struct,20,8,38.0
Only-MS$^2$,1,8,4.0
Only-MS$^2$,20,8,26.0
LC-MS$^2$Struct,1,1,6.0
LC-MS$^2$Struct,20,1,54.0
Only-MS$^2$,1,1,4.0
Only-MS$^2$,20,1,38.0
LC-MS$^2$Struct,1,2,4.0
LC-MS$^2$Struct,20,2,48.0
Only-MS$^2$,1,2,4.0
Only-MS$^2$,20,2,38.0
LC-MS$^2$Struct,1,3,4.0
LC-MS$^2$Struct,20,3,46.0
Only-MS$^2$,1,3,4.0
Only-MS$^2$,20,3,38.0
LC-MS$^2$Struct,1,4,4.0
LC-MS$^2$Struct,20,4,46.0
Only-MS$^2$,1,4,4.0
Only-MS$^2$,20,4,38.0
LC-MS$^2$Struct,1,5,4.0
LC-MS$^2$Struct,20,5,46.0
Only-MS$^2$,1,5,4.0
Only-MS$^2$,20,5,38.0
LC-MS$^2$Struct,1,6,6.0
LC-MS$^2$Struct,20,6,46.0
Only-MS$^2$,1,6,4.0
Only-MS$^2$,20,6,38.0
LC-MS$^2$Struct,1,7,6.0
LC-MS$^2$Struct,20,7,46.0
Only-MS$^2$,1,7,4.0
Only-MS$^2$,20,7,38.0
LC-MS$^2$Struct,1,8,4.0
LC-MS$^2$Struct,20,8,46.0
Only-MS$^2$,1,8,4.0
Only-MS$^2$,20,8,38.0
LC-MS$^2$Struct,1,1,10.0
LC-MS$^2$Struct,20,1,57.99999999999999
Only-MS$^2$,1,1,6.0
Only-MS$^2$,20,1,44.0
LC-MS$^2$Struct,1,2,12.0
LC-MS$^2$Struct,20,2,60.0
Only-MS$^2$,1,2,6.0
Only-MS$^2$,20,2,44.0
LC-MS$^2$Struct,1,3,12.0
LC-MS$^2$Struct,20,3,62.0
Only-MS$^2$,1,3,6.0
Only-MS$^2$,20,3,44.0
LC-MS$^2$Struct,1,4,14.000000000000002
LC-MS$^2$Struct,20,4,60.0
Only-MS$^2$,1,4,6.0
Only-MS$^2$,20,4,44.0
LC-MS$^2$Struct,1,5,12.0
LC-MS$^2$Struct,20,5,57.99999999999999
Only-MS$^2$,1,5,6.0
Only-MS$^2$,20,5,44.0
LC-MS$^2$Struct,1,6,12.0
LC-MS$^2$Struct,20,6,60.0
Only-MS$^2$,1,6,6.0
Only-MS$^2$,20,6,44.0
LC-MS$^2$Struct,1,7,12.0
LC-MS$^2$Struct,20,7,60.0
Only-MS$^2$,1,7,6.0
Only-MS$^2$,20,7,44.0
LC-MS$^2$Struct,1,8,12.0
LC-MS$^2$Struct,20,8,60.0
Only-MS$^2$,1,8,6.0
Only-MS$^2$,20,8,44.0
LC-MS$^2$Struct,1,1,4.0
LC-MS$^2$Struct,20,1,42.0
Only-MS$^2$,1,1,4.0
Only-MS$^2$,20,1,30.0
LC-MS$^2$Struct,1,2,2.0
LC-MS$^2$Struct,20,2,42.0
Only-MS$^2$,1,2,4.0
Only-MS$^2$,20,2,30.0
LC-MS$^2$Struct,1,3,4.0
LC-MS$^2$Struct,20,3,44.0
Only-MS$^2$,1,3,4.0
Only-MS$^2$,20,3,30.0
LC-MS$^2$Struct,1,4,4.0
LC-MS$^2$Struct,20,4,44.0
Only-MS$^2$,1,4,4.0
Only-MS$^2$,20,4,30.0
LC-MS$^2$Struct,1,5,4.0
LC-MS$^2$Struct,20,5,46.0
Only-MS$^2$,1,5,4.0
Only-MS$^2$,20,5,30.0
LC-MS$^2$Struct,1,6,4.0
LC-MS$^2$Struct,20,6,46.0
Only-MS$^2$,1,6,4.0
Only-MS$^2$,20,6,30.0
LC-MS$^2$Struct,1,7,4.0
LC-MS$^2$Struct,20,7,46.0
Only-MS$^2$,1,7,4.0
Only-MS$^2$,20,7,30.0
LC-MS$^2$Struct,1,8,4.0
LC-MS$^2$Struct,20,8,46.0
Only-MS$^2$,1,8,4.0
Only-MS$^2$,20,8,30.0
LC-MS$^2$Struct,1,1,2.0
LC-MS$^2$Struct,20,1,26.0
Only-MS$^2$,1,1,2.0
Only-MS$^2$,20,1,18.0
LC-MS$^2$Struct,1,2,2.0
LC-MS$^2$Struct,20,2,24.0
Only-MS$^2$,1,2,2.0
Only-MS$^2$,20,2,18.0
LC-MS$^2$Struct,1,3,2.0
LC-MS$^2$Struct,20,3,24.0
Only-MS$^2$,1,3,2.0
Only-MS$^2$,20,3,18.0
LC-MS$^2$Struct,1,4,2.0
LC-MS$^2$Struct,20,4,24.0
Only-MS$^2$,1,4,2.0
Only-MS$^2$,20,4,18.0
LC-MS$^2$Struct,1,5,2.0
LC-MS$^2$Struct,20,5,24.0
Only-MS$^2$,1,5,2.0
Only-MS$^2$,20,5,18.0
LC-MS$^2$Struct,1,6,2.0
LC-MS$^2$Struct,20,6,26.0
Only-MS$^2$,1,6,2.0
Only-MS$^2$,20,6,18.0
LC-MS$^2$Struct,1,7,2.0
LC-MS$^2$Struct,20,7,24.0
Only-MS$^2$,1,7,2.0
Only-MS$^2$,20,7,18.0
LC-MS$^2$Struct,1,8,2.0
LC-MS$^2$Struct,20,8,26.0
Only-MS$^2$,1,8,2.0
Only-MS$^2$,20,8,18.0
LC-MS$^2$Struct,1,1,4.0
LC-MS$^2$Struct,20,1,42.0
Only-MS$^2$,1,1,4.0
Only-MS$^2$,20,1,22.0
LC-MS$^2$Struct,1,2,6.0
LC-MS$^2$Struct,20,2,44.0
Only-MS$^2$,1,2,4.0
Only-MS$^2$,20,2,22.0
LC-MS$^2$Struct,1,3,6.0
LC-MS$^2$Struct,20,3,40.0
Only-MS$^2$,1,3,4.0
Only-MS$^2$,20,3,22.0
LC-MS$^2$Struct,1,4,6.0
LC-MS$^2$Struct,20,4,40.0
Only-MS$^2$,1,4,4.0
Only-MS$^2$,20,4,22.0
LC-MS$^2$Struct,1,5,6.0
LC-MS$^2$Struct,20,5,38.0
Only-MS$^2$,1,5,4.0
Only-MS$^2$,20,5,22.0
LC-MS$^2$Struct,1,6,6.0
LC-MS$^2$Struct,20,6,40.0
Only-MS$^2$,1,6,4.0
Only-MS$^2$,20,6,22.0
LC-MS$^2$Struct,1,7,6.0
LC-MS$^2$Struct,20,7,38.0
Only-MS$^2$,1,7,4.0
Only-MS$^2$,20,7,22.0
LC-MS$^2$Struct,1,8,6.0
LC-MS$^2$Struct,20,8,40.0
Only-MS$^2$,1,8,4.0
Only-MS$^2$,20,8,22.0
LC-MS$^2$Struct,1,1,6.0
LC-MS$^2$Struct,20,1,50.0
Only-MS$^2$,1,1,4.0
Only-MS$^2$,20,1,40.0
LC-MS$^2$Struct,1,2,6.0
LC-MS$^2$Struct,20,2,48.0
Only-MS$^2$,1,2,4.0
Only-MS$^2$,20,2,40.0
LC-MS$^2$Struct,1,3,4.0
LC-MS$^2$Struct,20,3,48.0
Only-MS$^2$,1,3,4.0
Only-MS$^2$,20,3,40.0
LC-MS$^2$Struct,1,4,4.0
LC-MS$^2$Struct,20,4,50.0
Only-MS$^2$,1,4,4.0
Only-MS$^2$,20,4,40.0
LC-MS$^2$Struct,1,5,4.0
LC-MS$^2$Struct,20,5,50.0
Only-MS$^2$,1,5,4.0
Only-MS$^2$,20,5,40.0
LC-MS$^2$Struct,1,6,4.0
LC-MS$^2$Struct,20,6,50.0
Only-MS$^2$,1,6,4.0
Only-MS$^2$,20,6,40.0
LC-MS$^2$Struct,1,7,4.0
LC-MS$^2$Struct,20,7,46.0
Only-MS$^2$,1,7,4.0
Only-MS$^2$,20,7,40.0
LC-MS$^2$Struct,1,8,4.0
LC-MS$^2$Struct,20,8,44.0
Only-MS$^2$,1,8,4.0
Only-MS$^2$,20,8,40.0
LC-MS$^2$Struct,1,1,10.0
LC-MS$^2$Struct,20,1,34.0
Only-MS$^2$,1,1,6.0
Only-MS$^2$,20,1,28.000000000000004
LC-MS$^2$Struct,1,2,8.0
LC-MS$^2$Struct,20,2,40.0
Only-MS$^2$,1,2,6.0
Only-MS$^2$,20,2,28.000000000000004
LC-MS$^2$Struct,1,3,8.0
LC-MS$^2$Struct,20,3,36.0
Only-MS$^2$,1,3,6.0
Only-MS$^2$,20,3,28.000000000000004
LC-MS$^2$Struct,1,4,8.0
LC-MS$^2$Struct,20,4,40.0
Only-MS$^2$,1,4,6.0
Only-MS$^2$,20,4,28.000000000000004
LC-MS$^2$Struct,1,5,10.0
LC-MS$^2$Struct,20,5,40.0
Only-MS$^2$,1,5,6.0
Only-MS$^2$,20,5,28.000000000000004
LC-MS$^2$Struct,1,6,10.0
LC-MS$^2$Struct,20,6,38.0
Only-MS$^2$,1,6,6.0
Only-MS$^2$,20,6,28.000000000000004
LC-MS$^2$Struct,1,7,8.0
LC-MS$^2$Struct,20,7,40.0
Only-MS$^2$,1,7,6.0
Only-MS$^2$,20,7,28.000000000000004
LC-MS$^2$Struct,1,8,8.0
LC-MS$^2$Struct,20,8,40.0
Only-MS$^2$,1,8,6.0
Only-MS$^2$,20,8,28.000000000000004
LC-MS$^2$Struct,1,1,4.0
LC-MS$^2$Struct,20,1,38.0
Only-MS$^2$,1,1,0.0
Only-MS$^2$,20,1,32.0
LC-MS$^2$Struct,1,2,0.0
LC-MS$^2$Struct,20,2,44.0
Only-MS$^2$,1,2,0.0
Only-MS$^2$,20,2,32.0
LC-MS$^2$Struct,1,3,0.0
LC-MS$^2$Struct,20,3,42.0
Only-MS$^2$,1,3,0.0
Only-MS$^2$,20,3,32.0
LC-MS$^2$Struct,1,4,0.0
LC-MS$^2$Struct,20,4,42.0
Only-MS$^2$,1,4,0.0
Only-MS$^2$,20,4,32.0
LC-MS$^2$Struct,1,5,0.0
LC-MS$^2$Struct,20,5,44.0
Only-MS$^2$,1,5,0.0
Only-MS$^2$,20,5,32.0
LC-MS$^2$Struct,1,6,0.0
LC-MS$^2$Struct,20,6,44.0
Only-MS$^2$,1,6,0.0
Only-MS$^2$,20,6,32.0
LC-MS$^2$Struct,1,7,0.0
LC-MS$^2$Struct,20,7,44.0
Only-MS$^2$,1,7,0.0
Only-MS$^2$,20,7,32.0
LC-MS$^2$Struct,1,8,0.0
LC-MS$^2$Struct,20,8,42.0
Only-MS$^2$,1,8,0.0
Only-MS$^2$,20,8,32.0
LC-MS$^2$Struct,1,1,4.0
LC-MS$^2$Struct,20,1,50.0
Only-MS$^2$,1,1,0.0
Only-MS$^2$,20,1,46.0
LC-MS$^2$Struct,1,2,6.0
LC-MS$^2$Struct,20,2,52.0
Only-MS$^2$,1,2,0.0
Only-MS$^2$,20,2,46.0
LC-MS$^2$Struct,1,3,4.0
LC-MS$^2$Struct,20,3,54.0
Only-MS$^2$,1,3,0.0
Only-MS$^2$,20,3,46.0
LC-MS$^2$Struct,1,4,6.0
LC-MS$^2$Struct,20,4,52.0
Only-MS$^2$,1,4,0.0
Only-MS$^2$,20,4,46.0
LC-MS$^2$Struct,1,5,10.0
LC-MS$^2$Struct,20,5,56.00000000000001
Only-MS$^2$,1,5,0.0
Only-MS$^2$,20,5,46.0
LC-MS$^2$Struct,1,6,10.0
LC-MS$^2$Struct,20,6,57.99999999999999
Only-MS$^2$,1,6,0.0
Only-MS$^2$,20,6,46.0
LC-MS$^2$Struct,1,7,10.0
LC-MS$^2$Struct,20,7,57.99999999999999
Only-MS$^2$,1,7,0.0
Only-MS$^2$,20,7,46.0
LC-MS$^2$Struct,1,8,4.0
LC-MS$^2$Struct,20,8,56.00000000000001
Only-MS$^2$,1,8,0.0
Only-MS$^2$,20,8,46.0
LC-MS$^2$Struct,1,1,6.0
LC-MS$^2$Struct,20,1,48.0
Only-MS$^2$,1,1,0.0
Only-MS$^2$,20,1,38.0
LC-MS$^2$Struct,1,2,8.0
LC-MS$^2$Struct,20,2,50.0
Only-MS$^2$,1,2,0.0
Only-MS$^2$,20,2,38.0
LC-MS$^2$Struct,1,3,10.0
LC-MS$^2$Struct,20,3,52.0
Only-MS$^2$,1,3,0.0
Only-MS$^2$,20,3,38.0
LC-MS$^2$Struct,1,4,8.0
LC-MS$^2$Struct,20,4,52.0
Only-MS$^2$,1,4,0.0
Only-MS$^2$,20,4,38.0
LC-MS$^2$Struct,1,5,4.0
LC-MS$^2$Struct,20,5,50.0
Only-MS$^2$,1,5,0.0
Only-MS$^2$,20,5,38.0
LC-MS$^2$Struct,1,6,6.0
LC-MS$^2$Struct,20,6,52.0
Only-MS$^2$,1,6,0.0
Only-MS$^2$,20,6,38.0
LC-MS$^2$Struct,1,7,8.0
LC-MS$^2$Struct,20,7,50.0
Only-MS$^2$,1,7,0.0
Only-MS$^2$,20,7,38.0
LC-MS$^2$Struct,1,8,8.0
LC-MS$^2$Struct,20,8,50.0
Only-MS$^2$,1,8,0.0
Only-MS$^2$,20,8,38.0
LC-MS$^2$Struct,1,1,12.0
LC-MS$^2$Struct,20,1,46.0
Only-MS$^2$,1,1,2.0010976948408343
Only-MS$^2$,20,1,36.02195389681669
LC-MS$^2$Struct,1,2,14.000000000000002
LC-MS$^2$Struct,20,2,42.0
Only-MS$^2$,1,2,2.0010976948408343
Only-MS$^2$,20,2,36.02195389681669
LC-MS$^2$Struct,1,3,12.0
LC-MS$^2$Struct,20,3,44.0
Only-MS$^2$,1,3,2.0010976948408343
Only-MS$^2$,20,3,36.02195389681669
LC-MS$^2$Struct,1,4,12.0
LC-MS$^2$Struct,20,4,44.0
Only-MS$^2$,1,4,2.0010976948408343
Only-MS$^2$,20,4,36.02195389681669
LC-MS$^2$Struct,1,5,12.0
LC-MS$^2$Struct,20,5,48.0
Only-MS$^2$,1,5,2.0010976948408343
Only-MS$^2$,20,5,36.02195389681669
LC-MS$^2$Struct,1,6,12.0
LC-MS$^2$Struct,20,6,50.0
Only-MS$^2$,1,6,2.0010976948408343
Only-MS$^2$,20,6,36.02195389681669
LC-MS$^2$Struct,1,7,12.0
LC-MS$^2$Struct,20,7,52.0
Only-MS$^2$,1,7,2.0010976948408343
Only-MS$^2$,20,7,36.02195389681669
LC-MS$^2$Struct,1,8,12.0
LC-MS$^2$Struct,20,8,52.0
Only-MS$^2$,1,8,2.0010976948408343
Only-MS$^2$,20,8,36.02195389681669
LC-MS$^2$Struct,1,1,8.0
LC-MS$^2$Struct,20,1,44.0
Only-MS$^2$,1,1,2.0010976948408343
Only-MS$^2$,20,1,30.021953896816672
LC-MS$^2$Struct,1,2,6.0
LC-MS$^2$Struct,20,2,46.0
Only-MS$^2$,1,2,2.0010976948408343
Only-MS$^2$,20,2,30.021953896816672
LC-MS$^2$Struct,1,3,6.0
LC-MS$^2$Struct,20,3,46.0
Only-MS$^2$,1,3,2.0010976948408343
Only-MS$^2$,20,3,30.021953896816672
LC-MS$^2$Struct,1,4,6.0
LC-MS$^2$Struct,20,4,48.0
Only-MS$^2$,1,4,2.0010976948408343
Only-MS$^2$,20,4,30.021953896816672
LC-MS$^2$Struct,1,5,8.0
LC-MS$^2$Struct,20,5,46.0
Only-MS$^2$,1,5,2.0010976948408343
Only-MS$^2$,20,5,30.021953896816672
LC-MS$^2$Struct,1,6,8.0
LC-MS$^2$Struct,20,6,46.0
Only-MS$^2$,1,6,2.0010976948408343
Only-MS$^2$,20,6,30.021953896816672
LC-MS$^2$Struct,1,7,8.0
LC-MS$^2$Struct,20,7,48.0
Only-MS$^2$,1,7,2.0010976948408343
Only-MS$^2$,20,7,30.021953896816672
LC-MS$^2$Struct,1,8,8.0
LC-MS$^2$Struct,20,8,48.0
Only-MS$^2$,1,8,2.0010976948408343
Only-MS$^2$,20,8,30.021953896816672
LC-MS$^2$Struct,1,1,14.000000000000002
LC-MS$^2$Struct,20,1,46.0
Only-MS$^2$,1,1,0.0
Only-MS$^2$,20,1,32.0
LC-MS$^2$Struct,1,2,10.0
LC-MS$^2$Struct,20,2,52.0
Only-MS$^2$,1,2,0.0
Only-MS$^2$,20,2,32.0
LC-MS$^2$Struct,1,3,6.0
LC-MS$^2$Struct,20,3,52.0
Only-MS$^2$,1,3,0.0
Only-MS$^2$,20,3,32.0
LC-MS$^2$Struct,1,4,4.0
LC-MS$^2$Struct,20,4,52.0
Only-MS$^2$,1,4,0.0
Only-MS$^2$,20,4,32.0
LC-MS$^2$Struct,1,5,4.0
LC-MS$^2$Struct,20,5,54.0
Only-MS$^2$,1,5,0.0
Only-MS$^2$,20,5,32.0
LC-MS$^2$Struct,1,6,4.0
LC-MS$^2$Struct,20,6,54.0
Only-MS$^2$,1,6,0.0
Only-MS$^2$,20,6,32.0
LC-MS$^2$Struct,1,7,4.0
LC-MS$^2$Struct,20,7,52.0
Only-MS$^2$,1,7,0.0
Only-MS$^2$,20,7,32.0
LC-MS$^2$Struct,1,8,6.0
LC-MS$^2$Struct,20,8,52.0
Only-MS$^2$,1,8,0.0
Only-MS$^2$,20,8,32.0
LC-MS$^2$Struct,1,1,6.0
LC-MS$^2$Struct,20,1,48.0
Only-MS$^2$,1,1,0.0
Only-MS$^2$,20,1,36.0
LC-MS$^2$Struct,1,2,2.0
LC-MS$^2$Struct,20,2,48.0
Only-MS$^2$,1,2,0.0
Only-MS$^2$,20,2,36.0
LC-MS$^2$Struct,1,3,4.0
LC-MS$^2$Struct,20,3,50.0
Only-MS$^2$,1,3,0.0
Only-MS$^2$,20,3,36.0
LC-MS$^2$Struct,1,4,2.0
LC-MS$^2$Struct,20,4,50.0
Only-MS$^2$,1,4,0.0
Only-MS$^2$,20,4,36.0
LC-MS$^2$Struct,1,5,4.0
LC-MS$^2$Struct,20,5,52.0
Only-MS$^2$,1,5,0.0
Only-MS$^2$,20,5,36.0
LC-MS$^2$Struct,1,6,4.0
LC-MS$^2$Struct,20,6,50.0
Only-MS$^2$,1,6,0.0
Only-MS$^2$,20,6,36.0
LC-MS$^2$Struct,1,7,4.0
LC-MS$^2$Struct,20,7,48.0
Only-MS$^2$,1,7,0.0
Only-MS$^2$,20,7,36.0
LC-MS$^2$Struct,1,8,4.0
LC-MS$^2$Struct,20,8,48.0
Only-MS$^2$,1,8,0.0
Only-MS$^2$,20,8,36.0
LC-MS$^2$Struct,1,1,2.0
LC-MS$^2$Struct,20,1,52.0
Only-MS$^2$,1,1,0.0
Only-MS$^2$,20,1,40.0
LC-MS$^2$Struct,1,2,8.0
LC-MS$^2$Struct,20,2,52.0
Only-MS$^2$,1,2,0.0
Only-MS$^2$,20,2,40.0
LC-MS$^2$Struct,1,3,4.0
LC-MS$^2$Struct,20,3,52.0
Only-MS$^2$,1,3,0.0
Only-MS$^2$,20,3,40.0
LC-MS$^2$Struct,1,4,4.0
LC-MS$^2$Struct,20,4,48.0
Only-MS$^2$,1,4,0.0
Only-MS$^2$,20,4,40.0
LC-MS$^2$Struct,1,5,2.0
LC-MS$^2$Struct,20,5,50.0
Only-MS$^2$,1,5,0.0
Only-MS$^2$,20,5,40.0
LC-MS$^2$Struct,1,6,2.0
LC-MS$^2$Struct,20,6,50.0
Only-MS$^2$,1,6,0.0
Only-MS$^2$,20,6,40.0
LC-MS$^2$Struct,1,7,2.0
LC-MS$^2$Struct,20,7,50.0
Only-MS$^2$,1,7,0.0
Only-MS$^2$,20,7,40.0
LC-MS$^2$Struct,1,8,2.0
LC-MS$^2$Struct,20,8,50.0
Only-MS$^2$,1,8,0.0
Only-MS$^2$,20,8,40.0
LC-MS$^2$Struct,1,1,6.0
LC-MS$^2$Struct,20,1,42.0
Only-MS$^2$,1,1,2.0
Only-MS$^2$,20,1,44.0
LC-MS$^2$Struct,1,2,6.0
LC-MS$^2$Struct,20,2,48.0
Only-MS$^2$,1,2,2.0
Only-MS$^2$,20,2,44.0
LC-MS$^2$Struct,1,3,6.0
LC-MS$^2$Struct,20,3,52.0
Only-MS$^2$,1,3,2.0
Only-MS$^2$,20,3,44.0
LC-MS$^2$Struct,1,4,6.0
LC-MS$^2$Struct,20,4,48.0
Only-MS$^2$,1,4,2.0
Only-MS$^2$,20,4,44.0
LC-MS$^2$Struct,1,5,6.0
LC-MS$^2$Struct,20,5,54.0
Only-MS$^2$,1,5,2.0
Only-MS$^2$,20,5,44.0
LC-MS$^2$Struct,1,6,6.0
LC-MS$^2$Struct,20,6,57.99999999999999
Only-MS$^2$,1,6,2.0
Only-MS$^2$,20,6,44.0
LC-MS$^2$Struct,1,7,6.0
LC-MS$^2$Struct,20,7,56.00000000000001
Only-MS$^2$,1,7,2.0
Only-MS$^2$,20,7,44.0
LC-MS$^2$Struct,1,8,6.0
LC-MS$^2$Struct,20,8,54.0
Only-MS$^2$,1,8,2.0
Only-MS$^2$,20,8,44.0
LC-MS$^2$Struct,1,1,2.0
LC-MS$^2$Struct,20,1,54.0
Only-MS$^2$,1,1,0.0
Only-MS$^2$,20,1,34.0
LC-MS$^2$Struct,1,2,2.0
LC-MS$^2$Struct,20,2,54.0
Only-MS$^2$,1,2,0.0
Only-MS$^2$,20,2,34.0
LC-MS$^2$Struct,1,3,4.0
LC-MS$^2$Struct,20,3,54.0
Only-MS$^2$,1,3,0.0
Only-MS$^2$,20,3,34.0
LC-MS$^2$Struct,1,4,4.0
LC-MS$^2$Struct,20,4,57.99999999999999
Only-MS$^2$,1,4,0.0
Only-MS$^2$,20,4,34.0
LC-MS$^2$Struct,1,5,2.0
LC-MS$^2$Struct,20,5,57.99999999999999
Only-MS$^2$,1,5,0.0
Only-MS$^2$,20,5,34.0
LC-MS$^2$Struct,1,6,2.0
LC-MS$^2$Struct,20,6,56.00000000000001
Only-MS$^2$,1,6,0.0
Only-MS$^2$,20,6,34.0
LC-MS$^2$Struct,1,7,2.0
LC-MS$^2$Struct,20,7,57.99999999999999
Only-MS$^2$,1,7,0.0
Only-MS$^2$,20,7,34.0
LC-MS$^2$Struct,1,8,2.0
LC-MS$^2$Struct,20,8,57.99999999999999
Only-MS$^2$,1,8,0.0
Only-MS$^2$,20,8,34.0
LC-MS$^2$Struct,1,1,2.0
LC-MS$^2$Struct,20,1,46.0
Only-MS$^2$,1,1,0.0
Only-MS$^2$,20,1,34.0
LC-MS$^2$Struct,1,2,6.0
LC-MS$^2$Struct,20,2,42.0
Only-MS$^2$,1,2,0.0
Only-MS$^2$,20,2,34.0
LC-MS$^2$Struct,1,3,6.0
LC-MS$^2$Struct,20,3,42.0
Only-MS$^2$,1,3,0.0
Only-MS$^2$,20,3,34.0
LC-MS$^2$Struct,1,4,8.0
LC-MS$^2$Struct,20,4,44.0
Only-MS$^2$,1,4,0.0
Only-MS$^2$,20,4,34.0
LC-MS$^2$Struct,1,5,4.0
LC-MS$^2$Struct,20,5,42.0
Only-MS$^2$,1,5,0.0
Only-MS$^2$,20,5,34.0
LC-MS$^2$Struct,1,6,4.0
LC-MS$^2$Struct,20,6,42.0
Only-MS$^2$,1,6,0.0
Only-MS$^2$,20,6,34.0
LC-MS$^2$Struct,1,7,4.0
LC-MS$^2$Struct,20,7,42.0
Only-MS$^2$,1,7,0.0
Only-MS$^2$,20,7,34.0
LC-MS$^2$Struct,1,8,4.0
LC-MS$^2$Struct,20,8,42.0
Only-MS$^2$,1,8,0.0
Only-MS$^2$,20,8,34.0
LC-MS$^2$Struct,1,1,8.0
LC-MS$^2$Struct,20,1,52.0
Only-MS$^2$,1,1,4.001097694840834
Only-MS$^2$,20,1,38.0219538968167
LC-MS$^2$Struct,1,2,8.0
LC-MS$^2$Struct,20,2,54.0
Only-MS$^2$,1,2,4.001097694840834
Only-MS$^2$,20,2,38.0219538968167
LC-MS$^2$Struct,1,3,8.0
LC-MS$^2$Struct,20,3,50.0
Only-MS$^2$,1,3,4.001097694840834
Only-MS$^2$,20,3,38.0219538968167
LC-MS$^2$Struct,1,4,8.0
LC-MS$^2$Struct,20,4,54.0
Only-MS$^2$,1,4,4.001097694840834
Only-MS$^2$,20,4,38.0219538968167
LC-MS$^2$Struct,1,5,8.0
LC-MS$^2$Struct,20,5,52.0
Only-MS$^2$,1,5,4.001097694840834
Only-MS$^2$,20,5,38.0219538968167
LC-MS$^2$Struct,1,6,8.0
LC-MS$^2$Struct,20,6,52.0
Only-MS$^2$,1,6,4.001097694840834
Only-MS$^2$,20,6,38.0219538968167
LC-MS$^2$Struct,1,7,8.0
LC-MS$^2$Struct,20,7,54.0
Only-MS$^2$,1,7,4.001097694840834
Only-MS$^2$,20,7,38.0219538968167
