scoring_method,k,n_models,top_k_acc
LC-MS$^2$Struct,1,6,8.0
LC-MS$^2$Struct,20,6,36.0
Only-MS$^2$,1,6,8.0
Only-MS$^2$,20,6,34.0
LC-MS$^2$Struct,1,7,8.0
LC-MS$^2$Struct,20,7,36.0
Only-MS$^2$,1,7,8.0
Only-MS$^2$,20,7,34.0
LC-MS$^2$Struct,1,8,8.0
LC-MS$^2$Struct,20,8,38.0
Only-MS$^2$,1,8,8.0
Only-MS$^2$,20,8,34.0
LC-MS$^2$Struct,1,1,12.0
LC-MS$^2$Struct,20,1,38.0
Only-MS$^2$,1,1,10.0
Only-MS$^2$,20,1,36.0
LC-MS$^2$Struct,1,2,12.0
LC-MS$^2$Struct,20,2,40.0
Only-MS$^2$,1,2,10.0
Only-MS$^2$,20,2,36.0
LC-MS$^2$Struct,1,3,12.0
LC-MS$^2$Struct,20,3,42.0
Only-MS$^2$,1,3,10.0
Only-MS$^2$,20,3,36.0
LC-MS$^2$Struct,1,4,12.0
LC-MS$^2$Struct,20,4,38.0
Only-MS$^2$,1,4,10.0
Only-MS$^2$,20,4,36.0
LC-MS$^2$Struct,1,5,12.0
LC-MS$^2$Struct,20,5,40.0
Only-MS$^2$,1,5,10.0
Only-MS$^2$,20,5,36.0
LC-MS$^2$Struct,1,6,12.0
LC-MS$^2$Struct,20,6,40.0
Only-MS$^2$,1,6,10.0
Only-MS$^2$,20,6,36.0
LC-MS$^2$Struct,1,7,12.0
LC-MS$^2$Struct,20,7,38.0
Only-MS$^2$,1,7,10.0
Only-MS$^2$,20,7,36.0
LC-MS$^2$Struct,1,8,12.0
LC-MS$^2$Struct,20,8,38.0
Only-MS$^2$,1,8,10.0
Only-MS$^2$,20,8,36.0
LC-MS$^2$Struct,1,1,8.0
LC-MS$^2$Struct,20,1,44.0
Only-MS$^2$,1,1,6.0
Only-MS$^2$,20,1,38.0
LC-MS$^2$Struct,1,2,8.0
LC-MS$^2$Struct,20,2,42.0
Only-MS$^2$,1,2,6.0
Only-MS$^2$,20,2,38.0
LC-MS$^2$Struct,1,3,8.0
LC-MS$^2$Struct,20,3,46.0
Only-MS$^2$,1,3,6.0
Only-MS$^2$,20,3,38.0
LC-MS$^2$Struct,1,4,6.0
LC-MS$^2$Struct,20,4,44.0
Only-MS$^2$,1,4,6.0
Only-MS$^2$,20,4,38.0
LC-MS$^2$Struct,1,5,8.0
LC-MS$^2$Struct,20,5,44.0
Only-MS$^2$,1,5,6.0
Only-MS$^2$,20,5,38.0
LC-MS$^2$Struct,1,6,6.0
